SL,State,Child_Labour_I,Child_Labour_V,Child_Labour_R,Marriage_I,Marriage_V,Marriage_R,Organs_I,Organs_V,Organs_R
1,Andhra Pradesh,12,12,0.1,19,19,0.1,0,0,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,78,110,0.6,155,162,1.3,0,0,0.0
4,Bihar,14,30,0.0,11,13,0.0,0,0,0.0
5,Chhattisgarh,0,0,0.0,0,0,0.0,0,0,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,40,84,0.2,12,12,0.1,0,0,0.0
8,Haryana,12,12,0.1,33,33,0.4,0,0,0.0
9,Himachal Pradesh,0,0,0.0,5,5,0.2,0,0,0.0
10,Jharkhand,5,5,0.0,4,4,0.0,0,0,0.0
11,Karnataka,58,88,0.3,273,276,1.4,0,0,0.0
12,Kerala,3,3,0.0,12,12,0.1,0,0,0.0
13,Madhya Pradesh,5,5,0.0,4,4,0.0,0,0,0.0
14,Maharashtra,57,84,0.2,82,82,0.2,0,0,0.0
15,Manipur,0,0,0.0,2,2,0.2,0,0,0.0
16,Meghalaya,0,0,0.0,0,0,0.0,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,6,9,0.0,64,64,0.4,0,0,0.0
20,Punjab,8,11,0.1,8,8,0.1,0,0,0.0
21,Rajasthan,19,19,0.1,11,11,0.0,0,0,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,26,32,0.1,169,169,0.8,0,0,0.0
24,Telangana,224,305,2.0,57,57,0.5,0,0,0.0
25,Tripura,0,0,0.0,1,1,0.1,0,0,0.0
26,Uttar Pradesh,1,17,0.0,6,6,0.0,0,0,0.0
27,Uttarakhand,25,25,0.7,12,12,0.3,0,0,0.0
28,West Bengal,2,2,0.0,105,105,0.4,0,0,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,7,40,2.2,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,11,89,0.2,2,2,0.0,0,0,0.0
33,Jammu & Kashmir,0,0,0.0,2,2,0.0,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,1,1,0.3,0,0,0.0
