SL,State,Sec17_22_Total_I,Sec17_22_Total_V,Sec17_22_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,4,4,0.0,4,4,0.0,0,0,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,14,14,0.1,14,14,0.1,0,0,0.0
4,Bihar,0,0,0.0,0,0,0.0,0,0,0.0
5,Chhattisgarh,22,22,0.2,22,22,0.2,0,0,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,35,35,0.2,34,34,0.2,1,1,0.0
8,Haryana,33,33,0.4,32,32,0.4,1,1,0.0
9,Himachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
10,Jharkhand,16,16,0.1,16,16,0.1,0,0,0.0
11,Karnataka,17,17,0.1,17,17,0.1,0,0,0.0
12,Kerala,7,7,0.1,5,5,0.1,2,2,0.0
13,Madhya Pradesh,15,15,0.1,15,15,0.1,0,0,0.0
14,Maharashtra,17,17,0.0,14,14,0.0,3,3,0.0
15,Manipur,4,4,0.4,4,4,0.4,0,0,0.0
16,Meghalaya,5,6,0.4,5,6,0.4,0,0,0.0
17,Mizoram,1,1,0.2,1,1,0.2,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,5,5,0.0,5,5,0.0,0,0,0.0
20,Punjab,0,0,0.0,0,0,0.0,0,0,0.0
21,Rajasthan,518,518,1.8,510,510,1.8,8,8,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,25,38,0.1,25,38,0.1,0,0,0.0
24,Telangana,1,1,0.0,1,1,0.0,0,0,0.0
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,57,57,0.1,57,57,0.1,0,0,0.0
27,Uttarakhand,2,2,0.1,2,2,0.1,0,0,0.0
28,West Bengal,25,25,0.1,25,25,0.1,0,0,0.0
29,A&N Islands,1,1,0.9,1,1,0.9,0,0,0.0
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,1,1,0.0,1,1,0.0,0,0,0.0
33,Jammu & Kashmir,0,0,0.0,0,0,0.0,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
