SL,State,Sec14_15_Total_I,Sec14_15_Total_V,Sec14_15_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,10,10,0.1,10,10,0.1,0,0,0.0
2,Arunachal Pradesh,1,1,0.2,1,1,0.2,0,0,0.0
3,Assam,34,34,0.3,34,34,0.3,0,0,0.0
4,Bihar,135,135,0.3,135,135,0.3,0,0,0.0
5,Chhattisgarh,4,4,0.0,4,4,0.0,0,0,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,16,16,0.1,16,16,0.1,0,0,0.0
8,Haryana,3,3,0.0,3,3,0.0,0,0,0.0
9,Himachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
10,Jharkhand,50,50,0.4,50,50,0.4,0,0,0.0
11,Karnataka,14,14,0.1,13,13,0.1,1,1,0.0
12,Kerala,37,39,0.4,29,31,0.3,8,8,0.1
13,Madhya Pradesh,21,21,0.1,21,21,0.1,0,0,0.0
14,Maharashtra,16,16,0.0,16,16,0.0,0,0,0.0
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0
16,Meghalaya,5,5,0.4,5,5,0.4,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,18,18,0.1,18,18,0.1,0,0,0.0
20,Punjab,0,0,0.0,0,0,0.0,0,0,0.0
21,Rajasthan,43,43,0.2,43,43,0.2,0,0,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,47,49,0.2,46,46,0.2,1,3,0.0
24,Telangana,24,24,0.2,24,24,0.2,0,0,0.0
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,30,30,0.0,30,30,0.0,0,0,0.0
27,Uttarakhand,0,0,0.0,0,0,0.0,0,0,0.0
28,West Bengal,8,8,0.0,8,8,0.0,0,0,0.0
29,A&N Islands,1,1,0.9,1,1,0.9,0,0,0.0
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,1,1,0.0,1,1,0.0,0,0,0.0
33,Jammu & Kashmir,18,18,0.4,18,18,0.4,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
