SL,State,Ransom_I,Ransom_V,Ransom_R,Marriage_Total_I,Marriage_Total_V,Marriage_Total_R,Above18_I,Above18_V,Above18_R
1,Andhra Pradesh,5,6,0.0,132,132,0.5,58,58,0.2
2,Arunachal Pradesh,1,1,0.1,3,3,0.4,2,2,0.3
3,Assam,15,15,0.1,1371,1389,7.8,1000,1018,5.7
4,Bihar,2,2,0.0,9467,9486,15.5,4534,4545,7.4
5,Chhattisgarh,0,0,0.0,77,77,0.5,1,1,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,1,1,0.0,567,573,1.7,43,43,0.1
8,Haryana,0,0,0.0,968,970,6.8,656,657,4.6
9,Himachal Pradesh,0,0,0.0,144,144,3.9,13,13,0.4
10,Jharkhand,5,5,0.0,775,775,4.0,620,620,3.2
11,Karnataka,18,19,0.1,29,30,0.1,21,22,0.1
12,Kerala,0,0,0.0,39,40,0.2,15,16,0.1
13,Madhya Pradesh,3,3,0.0,1673,1675,4.0,51,52,0.1
14,Maharashtra,8,8,0.0,138,152,0.2,47,58,0.1
15,Manipur,1,1,0.1,12,13,0.7,7,8,0.4
16,Meghalaya,9,9,0.5,6,6,0.4,3,3,0.2
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,1,1,0.1,0,0,0.0,0,0,0.0
19,Odisha,8,8,0.0,64,64,0.3,4,4,0.0
20,Punjab,0,0,0.0,1383,1413,9.5,105,106,0.7
21,Rajasthan,11,12,0.0,1546,1624,3.9,884,961,2.2
22,Sikkim,0,0,0.0,1,1,0.3,0,0,0.0
23,Tamil Nadu,5,5,0.0,193,193,0.5,92,92,0.2
24,Telangana,0,0,0.0,220,222,1.2,97,97,0.5
25,Tripura,0,0,0.0,29,30,1.4,8,9,0.4
26,Uttar Pradesh,2,2,0.0,10627,10675,9.4,6978,7007,6.2
27,Uttarakhand,0,0,0.0,82,86,1.4,79,79,1.4
28,West Bengal,17,17,0.0,515,516,1.1,125,125,0.3
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,0,0,0.0,9,9,1.6,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,3,3,0.0,0,0,0.0,0,0,0.0
33,Jammu & Kashmir,0,0,0.0,426,427,6.6,416,417,6.4
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
