SL,State,Buying_I,Buying_V,Buying_R,Rape_Total_I,Rape_Total_V,Rape_Total_R,Rape_18_I,Rape_18_V,Rape_18_R,Rape_Below18_I,Rape_Below18_V,Rape_Below18_R
1,Andhra Pradesh,2,2,0.0,438,458,1.6,438,458,1.6,0,0,0.0
2,Arunachal Pradesh,0,0,0.0,71,72,9.3,35,35,4.6,36,37,4.7
3,Assam,0,0,0.0,989,1033,5.6,988,1032,5.6,1,1,0.0
4,Bihar,0,0,0.0,902,902,1.5,902,902,1.5,0,0,0.0
5,Chhattisgarh,0,0,0.0,1171,1171,7.8,1171,1171,7.8,0,0,0.0
6,Goa,0,0,0.0,97,98,12.4,35,35,4.5,62,63,7.9
7,Gujarat,0,0,0.0,634,637,1.9,632,635,1.9,2,2,0.0
8,Haryana,0,0,0.0,1772,1772,12.4,1769,1769,12.4,3,3,0.0
9,Himachal Pradesh,0,0,0.0,344,345,9.3,138,138,3.7,206,207,5.6
10,Jharkhand,0,0,0.0,1221,1221,6.3,1071,1071,5.5,150,150,0.8
11,Karnataka,0,0,0.0,656,658,2.0,656,658,2.0,0,0,0.0
12,Kerala,0,0,0.0,843,845,4.5,843,845,4.5,0,0,0.0
13,Madhya Pradesh,2,2,0.0,2979,2979,7.1,2979,2979,7.1,0,0,0.0
14,Maharashtra,0,0,0.0,2930,2932,4.8,2930,2932,4.8,0,0,0.0
15,Manipur,0,0,0.0,27,27,1.7,27,27,1.7,0,0,0.0
16,Meghalaya,0,0,0.0,66,69,3.9,66,69,3.9,0,0,0.0
17,Mizoram,0,0,0.0,36,36,5.9,28,28,4.6,8,8,1.3
18,Nagaland,0,0,0.0,10,10,0.9,7,7,0.6,3,3,0.3
19,Odisha,0,0,0.0,1195,1195,5.2,1193,1193,5.2,2,2,0.0
20,Punjab,0,0,0.0,457,459,3.1,457,459,3.1,0,0,0.0
21,Rajasthan,0,0,0.0,5078,5194,12.8,5078,5194,12.8,0,0,0.0
22,Sikkim,0,0,0.0,9,9,2.8,9,9,2.8,0,0,0.0
23,Tamil Nadu,0,0,0.0,365,365,0.9,365,365,0.9,0,0,0.0
24,Telangana,0,0,0.0,817,817,4.3,814,814,4.3,3,3,0.0
25,Tripura,0,0,0.0,57,57,2.8,57,57,2.8,0,0,0.0
26,Uttar Pradesh,0,0,0.0,3516,3556,3.1,3215,3255,2.8,301,301,0.3
27,Uttarakhand,0,0,0.0,421,421,7.4,421,421,7.4,0,0,0.0
28,West Bengal,0,0,0.0,1110,1112,2.3,1110,1112,2.3,0,0,0.0
29,A&N Islands,0,0,0.0,14,14,7.3,14,14,7.3,0,0,0.0
30,Chandigarh,0,0,0.0,102,102,17.9,32,32,5.6,70,70,12.3
31,D&N Haveli and Daman & Diu,0,0,0.0,6,6,1.4,5,5,1.1,1,1,0.2
32,Delhi,0,0,0.0,1094,1094,10.9,1094,1094,10.9,0,0,0.0
33,Jammu & Kashmir,0,0,0.0,231,231,3.6,230,230,3.5,1,1,0.0
34,Ladakh,0,0,0.0,2,2,1.5,2,2,1.5,0,0,0.0
35,Lakshadweep,0,0,0.0,1,1,3.0,1,1,3.0,0,0,0.0
36,Puducherry,0,0,0.0,9,9,1.0,9,9,1.0,0,0,0.0
