SL,State,Sec12_Total_I,Sec12_Total_V,Sec12_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,79,79,0.5,79,79,0.5,0,0,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,144,158,1.2,144,158,1.2,0,0,0.0
4,Bihar,34,34,0.1,34,34,0.1,0,0,0.0
5,Chhattisgarh,30,30,0.3,30,30,0.3,0,0,0.0
6,Goa,1,1,0.3,0,0,0.0,1,1,0.3
7,Gujarat,71,71,0.3,71,71,0.3,0,0,0.0
8,Haryana,231,234,2.5,227,230,2.5,4,4,0.0
9,Himachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
10,Jharkhand,51,51,0.4,39,39,0.3,12,12,0.1
11,Karnataka,250,252,1.3,249,251,1.3,1,1,0.0
12,Kerala,174,177,1.9,155,157,1.6,19,20,0.2
13,Madhya Pradesh,82,82,0.3,82,82,0.3,0,0,0.0
14,Maharashtra,254,258,0.7,249,253,0.7,5,5,0.0
15,Manipur,1,1,0.1,1,1,0.1,0,0,0.0
16,Meghalaya,6,6,0.4,6,6,0.4,0,0,0.0
17,Mizoram,2,2,0.5,2,2,0.5,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,17,17,0.1,17,17,0.1,0,0,0.0
20,Punjab,3,3,0.0,3,3,0.0,0,0,0.0
21,Rajasthan,28,28,0.1,27,27,0.1,1,1,0.0
22,Sikkim,2,2,1.0,2,2,1.0,0,0,0.0
23,Tamil Nadu,225,244,1.1,221,240,1.1,4,4,0.0
24,Telangana,40,40,0.4,40,40,0.4,0,0,0.0
25,Tripura,1,1,0.1,1,1,0.1,0,0,0.0
26,Uttar Pradesh,68,70,0.1,64,66,0.1,4,4,0.0
27,Uttarakhand,8,8,0.2,7,7,0.2,1,1,0.0
28,West Bengal,239,249,0.8,236,246,0.8,3,3,0.0
29,A&N Islands,2,2,1.8,2,2,1.8,0,0,0.0
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,3,3,1.6,3,3,1.6,0,0,0.0
32,Delhi,34,36,0.6,31,33,0.6,3,3,0.1
33,Jammu & Kashmir,1,1,0.0,1,1,0.0,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,9,9,2.5,9,9,2.5,0,0,0.0
