SL,State,Damage_Public_Property,Official_Secrets_Act,Unlawful_Activities_Act,Arms_Act,Explosives_Act,Explosive_Substances_Act
1,Andhra Pradesh,0,0,0,0,0,0
2,Arunachal Pradesh,0,0,0,0,0,0
3,Assam,0,0,0,0,0,0
4,Bihar,0,0,0,21,0,0
5,Chhattisgarh,0,0,0,2,0,1
6,Goa,0,0,0,0,0,0
7,Gujarat,0,0,0,3,0,0
8,Haryana,1,0,0,22,0,0
9,Himachal Pradesh,0,0,0,0,0,0
10,Jharkhand,0,0,0,1,0,0
11,Karnataka,0,0,0,1,0,0
12,Kerala,0,0,0,0,0,0
13,Madhya Pradesh,0,0,0,80,0,0
14,Maharashtra,0,0,0,39,1,0
15,Manipur,0,1,0,0,0,0
16,Meghalaya,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0
19,Odisha,0,0,0,0,0,0
20,Punjab,0,0,1,1,0,0
21,Rajasthan,1,0,0,42,1,1
22,Sikkim,0,0,0,0,0,0
23,Tamil Nadu,5,0,0,7,1,2
24,Telangana,0,0,0,1,0,0
25,Tripura,0,0,0,0,0,0
26,Uttar Pradesh,1,0,0,26,2,2
27,Uttarakhand,1,0,0,1,0,0
28,West Bengal,0,0,0,3,0,0
29,A&N Islands,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0
31,D&N Haveli and Daman & Diu,0,0,0,0,0,0
32,Delhi,0,0,0,41,0,0
33,Jammu & Kashmir,0,6,0,0,0,0
34,Ladakh,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,1,0,0,0,0,3
