SL,State,Cases_Reported,Below_6,6_to_12,12_to_16,16_to_18,Total_Child,18_to_30,30_to_45,45_to_60,60_plus,Total_Adult,Total_Victims
1,Andhra Pradesh,1095,27,74,214,272,587,411,87,20,2,520,1107
2,Arunachal Pradesh,60,1,6,14,8,29,20,14,0,0,34,63
3,Assam,1657,0,0,6,12,18,1006,584,50,0,1640,1658
4,Bihar,806,0,0,1,0,1,631,156,18,0,805,806
5,Chhattisgarh,1210,0,0,4,9,13,734,398,62,5,1199,1212
6,Goa,60,2,5,23,12,42,12,5,2,0,19,61
7,Gujarat,486,0,0,0,0,0,350,126,8,2,486,486
8,Haryana,1373,0,0,0,0,0,826,494,51,2,1373,1373
9,Himachal Pradesh,331,8,20,91,78,197,78,53,3,1,135,332
10,Jharkhand,1321,0,0,3,113,116,821,364,25,0,1210,1326
11,Karnataka,504,0,0,0,0,0,387,115,5,0,507,507
12,Kerala,637,0,0,0,0,0,359,247,31,10,647,647
13,Madhya Pradesh,2339,2,7,0,1,10,1587,657,81,6,2331,2341
14,Maharashtra,2061,0,0,0,0,0,1420,577,61,7,2065,2065
15,Manipur,32,0,0,0,2,2,25,5,0,0,30,32
16,Meghalaya,67,0,0,1,0,1,45,18,2,1,66,67
17,Mizoram,33,1,0,14,0,15,12,4,1,1,18,33
18,Nagaland,4,0,0,1,0,1,2,1,0,0,3,4
19,Odisha,1211,0,0,4,13,17,1150,44,0,0,1194,1211
20,Punjab,502,7,2,21,32,62,315,110,16,1,442,504
21,Rajasthan,5310,21,64,374,820,1279,2617,1216,225,0,4058,5337
22,Sikkim,12,0,0,3,1,4,6,1,2,0,9,13
23,Tamil Nadu,389,0,0,0,0,0,306,71,5,8,390,390
24,Telangana,764,0,0,0,0,0,546,186,29,4,765,765
25,Tripura,79,0,0,0,0,0,55,18,4,2,79,79
26,Uttar Pradesh,2769,8,30,99,69,206,2033,487,70,0,2590,2796
27,Uttarakhand,487,0,0,3,2,5,301,168,13,0,482,487
28,West Bengal,1128,0,0,0,0,0,806,290,31,1,1128,1128
29,A&N Islands,2,0,0,0,0,0,2,0,0,0,2,2
30,Chandigarh,60,3,3,16,24,46,8,6,0,0,14,60
31,D&N Haveli and Daman & Diu,4,0,0,0,0,0,2,2,0,0,4,4
32,Delhi,997,0,0,0,0,0,677,271,44,5,997,997
33,Jammu & Kashmir,243,0,0,1,2,3,180,55,9,0,244,247
34,Ladakh,2,0,0,0,1,1,0,1,0,0,1,2
35,Lakshadweep,3,0,0,0,0,0,2,1,0,0,3,3
36,Puducherry,8,0,0,0,0,0,8,0,0,0,8,8
