SL,State,JJ_Total_I,JJ_Total_V,JJ_Total_R,Caretaker_I,Caretaker_V,Caretaker_R,Other_I,Other_V,Other_R
1,Andhra Pradesh,18,18,0.1,0,0,0,18,18,0.1
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0
3,Assam,67,67,0.6,20,20,0.2,47,47,0.4
4,Bihar,18,104,0,17,103,0,1,1,0
5,Chhattisgarh,13,13,0.1,3,3,0,10,10,0.1
6,Goa,0,0,0,0,0,0,0,0,0
7,Gujarat,151,152,0.7,91,91,0.4,60,61,0.3
8,Haryana,80,105,0.9,4,4,0,76,101,0.8
9,Himachal Pradesh,13,13,0.6,3,3,0.1,10,10,0.5
10,Jammu & Kashmir,2,2,0,1,1,0,1,1,0
11,Jharkhand,16,17,0.1,5,6,0,11,11,0.1
12,Karnataka,47,60,0.2,10,12,0.1,37,48,0.2
13,Kerala,333,367,3.6,52,58,0.6,281,309,3
14,Madhya Pradesh,21,21,0.1,0,0,0,21,21,0.1
15,Maharashtra,77,129,0.2,11,23,0,66,106,0.2
16,Manipur,2,2,0.2,1,1,0.1,1,1,0.1
17,Meghalaya,5,6,0.5,0,0,0,5,6,0.5
18,Mizoram,6,8,1.6,0,0,0,6,8,1.6
19,Nagaland,0,0,0,0,0,0,0,0,0
20,Odisha,70,72,0.5,47,47,0.3,23,25,0.2
21,Punjab,28,28,0.3,16,16,0.2,12,12,0.1
22,Rajasthan,596,991,2.1,80,80,0.3,516,911,1.8
23,Sikkim,1,1,0.5,1,1,0.5,0,0,0
24,Tamil Nadu,22,39,0.1,6,14,0,16,25,0.1
25,Telangana,213,282,1.9,31,31,0.3,182,251,1.6
26,Tripura,0,0,0,0,0,0,0,0,0
27,Uttar Pradesh,4,4,0,3,3,0,1,1,0
28,Uttarakhand,3,3,0.1,3,3,0.1,0,0,0
29,West Bengal,32,32,0.1,1,1,0,31,31,0.1
30,A&N Islands,2,2,1.5,0,0,0,2,2,1.5
31,Chandigarh,7,7,1.8,0,0,0,7,7,1.8
32,D&N Haveli,3,3,2.4,0,0,0,3,3,2.4
33,Daman & Diu,0,0,0,0,0,0,0,0,0
34,Delhi,116,149,2.1,4,5,0.1,112,144,2
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,2,2,0.4,2,2,0.4,0,0,0
