SL,State,Sec12_Total_I,Sec12_Total_V,Sec12_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,172,173,1.1,172,173,1.1,0,0,0
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0
3,Assam,144,147,1.2,143,146,1.2,1,1,0
4,Bihar,135,190,0.3,135,190,0.3,0,0,0
5,Chhattisgarh,46,46,0.5,45,45,0.4,1,1,0
6,Goa,0,0,0,0,0,0,0,0,0
7,Gujarat,259,263,1.3,258,262,1.2,1,1,0
8,Haryana,181,181,2,179,179,1.9,2,2,0
9,Himachal Pradesh,0,0,0,0,0,0,0,0,0
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
11,Jharkhand,8,8,0.1,8,8,0.1,0,0,0
12,Karnataka,130,139,0.7,128,135,0.7,2,4,0
13,Kerala,146,146,1.6,117,117,1.3,29,29,0.3
14,Madhya Pradesh,38,38,0.1,37,37,0.1,1,1,0
15,Maharashtra,94,99,0.2,94,99,0.2,0,0,0
16,Manipur,1,1,0.1,1,1,0.1,0,0,0
17,Meghalaya,6,6,0.6,6,6,0.6,0,0,0
18,Mizoram,2,4,0.5,2,4,0.5,0,0,0
19,Nagaland,0,0,0,0,0,0,0,0,0
20,Odisha,4,4,0,4,4,0,0,0,0
21,Punjab,5,5,0.1,5,5,0.1,0,0,0
22,Rajasthan,22,22,0.1,20,20,0.1,2,2,0
23,Sikkim,1,3,0.5,1,3,0.5,0,0,0
24,Tamil Nadu,144,159,0.7,141,156,0.7,3,3,0
25,Telangana,55,55,0.5,55,55,0.5,0,0,0
26,Tripura,2,2,0.2,2,2,0.2,0,0,0
27,Uttar Pradesh,45,46,0.1,45,46,0.1,0,0,0
28,Uttarakhand,15,15,0.4,15,15,0.4,0,0,0
29,West Bengal,203,203,0.7,201,201,0.7,2,2,0
30,A&N Islands,4,4,2.9,4,4,2.9,0,0,0
31,Chandigarh,0,0,0,0,0,0,0,0,0
32,D&N Haveli,0,0,0,0,0,0,0,0,0
33,Daman & Diu,1,1,1.1,1,1,1.1,0,0,0
34,Delhi,50,52,0.9,43,43,0.8,7,9,0.1
35,Lakshadweep,4,4,22.2,4,4,22.2,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0
