SL,State,Sec377_Total_I,Sec377_Total_V,Sec377_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,2,2,0,0,0,0,2,2,0
2,Arunachal Pradesh,2,2,0.4,0,0,0,2,2,0.4
3,Assam,0,0,0,0,0,0,0,0,0
4,Bihar,13,13,0,0,0,0,13,13,0
5,Chhattisgarh,6,6,0.1,1,1,0,5,5,0
6,Goa,0,0,0,0,0,0,0,0,0
7,Gujarat,22,22,0.1,0,0,0,22,22,0.1
8,Haryana,40,40,0.4,3,3,0,37,37,0.4
9,Himachal Pradesh,0,0,0,0,0,0,0,0,0
10,Jammu & Kashmir,12,12,0.3,1,1,0,11,11,0.2
11,Jharkhand,0,0,0,0,0,0,0,0,0
12,Karnataka,6,7,0,2,2,0,4,5,0
13,Kerala,181,181,1.9,0,0,0,181,181,1.9
14,Madhya Pradesh,70,73,0.2,2,2,0,68,71,0.2
15,Maharashtra,153,154,0.4,7,7,0,146,147,0.4
16,Manipur,0,0,0,0,0,0,0,0,0
17,Meghalaya,0,0,0,0,0,0,0,0,0
18,Mizoram,0,0,0,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0,0,0,0
20,Odisha,0,0,0,0,0,0,0,0,0
21,Punjab,27,27,0.3,5,5,0.1,22,22,0.3
22,Rajasthan,11,11,0,0,0,0,11,11,0
23,Sikkim,0,0,0,0,0,0,0,0,0
24,Tamil Nadu,0,0,0,0,0,0,0,0,0
25,Telangana,7,7,0.1,0,0,0,7,7,0.1
26,Tripura,2,2,0.2,0,0,0,2,2,0.2
27,Uttar Pradesh,77,77,0.1,13,13,0,64,64,0.1
28,Uttarakhand,11,11,0.3,0,0,0,11,11,0.3
29,West Bengal,10,10,0,0,0,0,10,10,0
30,A&N Islands,2,2,1.5,0,0,0,2,2,1.5
31,Chandigarh,0,0,0,0,0,0,0,0,0
32,D&N Haveli,0,0,0,0,0,0,0,0,0
33,Daman & Diu,1,1,1.1,0,0,0,1,1,1.1
34,Delhi,90,91,1.6,2,2,0,88,89,1.6
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0
