SL,State,Sec14_15_Total_I,Sec14_15_Total_V,Sec14_15_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,1,2,0,1,2,0,0,0,0
2,Arunachal Pradesh,1,1,0.2,1,1,0.2,0,0,0
3,Assam,2,2,0,2,2,0,0,0,0
4,Bihar,164,165,0.4,164,165,0.4,0,0,0
5,Chhattisgarh,4,4,0,4,4,0,0,0,0
6,Goa,0,0,0,0,0,0,0,0,0
7,Gujarat,9,9,0,9,9,0,0,0,0
8,Haryana,3,3,0,3,3,0,0,0,0
9,Himachal Pradesh,6,6,0.3,6,6,0.3,0,0,0
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
11,Jharkhand,32,32,0.2,32,32,0.2,0,0,0
12,Karnataka,23,23,0.1,22,22,0.1,1,1,0
13,Kerala,90,91,1,71,71,0.8,19,20,0.2
14,Madhya Pradesh,9,9,0,9,9,0,0,0,0
15,Maharashtra,27,27,0.1,18,18,0,9,9,0
16,Manipur,1,1,0.1,1,1,0.1,0,0,0
17,Meghalaya,0,0,0,0,0,0,0,0,0
18,Mizoram,0,0,0,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0,0,0,0
20,Odisha,542,542,3.9,542,542,3.9,0,0,0
21,Punjab,3,3,0,0,0,0,3,3,0
22,Rajasthan,158,158,0.6,157,157,0.6,1,1,0
23,Sikkim,1,1,0.5,0,0,0,1,1,0.5
24,Tamil Nadu,8,8,0,8,8,0,0,0,0
25,Telangana,3,3,0,3,3,0,0,0,0
26,Tripura,0,0,0,0,0,0,0,0,0
27,Uttar Pradesh,1,1,0,1,1,0,0,0,0
28,Uttarakhand,0,0,0,0,0,0,0,0,0
29,West Bengal,21,21,0.1,21,21,0.1,0,0,0
30,A&N Islands,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,0,0,0,0,0,0,0,0
32,D&N Haveli,0,0,0,0,0,0,0,0,0
33,Daman & Diu,2,2,2.2,1,1,1.1,1,1,1.1
34,Delhi,3,3,0.1,3,3,0.1,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0
