SL,State,Attempt_Murder_I,Attempt_Murder_V,Attempt_Murder_R,Infanticide_I,Infanticide_V,Infanticide_R,Foeticide_I,Foeticide_V,Foeticide_R,Exposure_I,Exposure_V,Exposure_R
1,Andhra Pradesh,5,5,0,10,12,0.1,3,3,0,13,13,0.1
2,Arunachal Pradesh,1,1,0.2,0,0,0,0,0,0,0,0,0
3,Assam,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,199,257,0.4,0,0,0,0,0,0,0,0,0
5,Chhattisgarh,15,18,0.1,10,10,0.1,15,15,0.1,41,41,0.4
6,Goa,2,3,0.4,0,0,0,0,0,0,4,4,0.8
7,Gujarat,17,17,0.1,5,5,0,15,15,0.1,107,110,0.5
8,Haryana,5,5,0.1,4,4,0,17,17,0.2,42,43,0.5
9,Himachal Pradesh,1,1,0,0,0,0,0,0,0,7,7,0.3
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,9,11,0.2
11,Jharkhand,0,0,0,1,1,0,0,0,0,0,0,0
12,Karnataka,12,17,0.1,5,5,0,3,3,0,121,131,0.6
13,Kerala,9,10,0.1,1,1,0,0,0,0,19,23,0.2
14,Madhya Pradesh,49,49,0.2,6,6,0,32,33,0.1,187,191,0.6
15,Maharashtra,51,52,0.1,8,8,0,5,5,0,167,168,0.4
16,Manipur,0,0,0,0,0,0,0,0,0,0,0,0
17,Meghalaya,2,2,0.2,0,0,0,1,1,0.1,0,0,0
18,Mizoram,0,0,0,1,1,0.3,0,0,0,0,0,0
19,Nagaland,1,1,0.1,1,1,0.1,0,0,0,0,0,0
20,Odisha,2,2,0,0,0,0,0,0,0,0,0,0
21,Punjab,1,1,0,2,2,0,12,12,0.1,23,23,0.3
22,Rajasthan,3,3,0,5,5,0,22,22,0.1,109,110,0.4
23,Sikkim,0,0,0,0,0,0,0,0,0,2,2,1
24,Tamil Nadu,15,15,0.1,2,2,0,0,0,0,6,6,0
25,Telangana,5,5,0,7,7,0.1,0,0,0,10,10,0.1
26,Tripura,0,0,0,0,0,0,0,0,0,0,0,0
27,Uttar Pradesh,5,5,0,3,3,0,4,4,0,2,2,0
28,Uttarakhand,0,0,0,0,0,0,0,0,0,1,1,0
29,West Bengal,20,20,0.1,0,0,0,1,1,0,0,0,0
30,A&N Islands,1,1,0.7,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
34,Delhi,7,7,0.1,2,2,0,7,8,0.1,26,29,0.5
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
