SL,State,Trafficking_I,Trafficking_V,Trafficking_R,Selling_Total_I,Selling_Total_V,Selling_Total_R,Boys_I,Boys_V,Boys_R,Girls_I,Girls_V,Girls_R
1,Andhra Pradesh,2,4,0,0,0,0,0,0,0,0,0,0
2,Arunachal Pradesh,3,9,0.6,0,0,0,0,0,0,0,0,0
3,Assam,56,77,0.5,2,2,0,0,0,0,2,2,0
4,Bihar,12,48,0,0,0,0,0,0,0,0,0,0
5,Chhattisgarh,32,63,0.3,0,0,0,0,0,0,0,0,0
6,Goa,1,1,0.2,0,0,0,0,0,0,0,0,0
7,Gujarat,1,1,0,0,0,0,0,0,0,0,0,0
8,Haryana,3,3,0,0,0,0,0,0,0,0,0,0
9,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0
11,Jharkhand,51,60,0.4,2,2,0,0,0,0,2,2,0
12,Karnataka,5,19,0,0,0,0,0,0,0,0,0,0
13,Kerala,119,122,1.3,0,0,0,0,0,0,0,0,0
14,Madhya Pradesh,23,64,0.1,7,11,0,1,1,0,6,10,0
15,Maharashtra,36,88,0.1,2,2,0,0,0,0,2,2,0
16,Manipur,3,5,0.3,0,0,0,0,0,0,0,0,0
17,Meghalaya,1,1,0.1,0,0,0,0,0,0,0,0,0
18,Mizoram,6,21,1.6,0,0,0,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
20,Odisha,5,15,0,0,0,0,0,0,0,0,0,0
21,Punjab,3,3,0,0,0,0,0,0,0,0,0,0
22,Rajasthan,15,47,0.1,1,1,0,0,0,0,1,1,0
23,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
24,Tamil Nadu,14,26,0.1,0,0,0,0,0,0,0,0,0
25,Telangana,3,3,0,0,0,0,0,0,0,0,0,0
26,Tripura,1,1,0.1,0,0,0,0,0,0,0,0,0
27,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
28,Uttarakhand,6,12,0.2,0,0,0,0,0,0,0,0,0
29,West Bengal,20,38,0.1,10,10,0,1,1,0,9,9,0
30,A&N Islands,0,0,0,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
34,Delhi,56,382,1,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
