SL,State,Murder_I,Murder_V,Murder_R,Murder_Rape_I,Murder_Rape_V,Murder_Rape_R,Other_Murder_I,Other_Murder_V,Other_Murder_R,Abet_Suicide_I,Abet_Suicide_V,Abet_Suicide_R
1,Andhra Pradesh,23,34,0.1,1,1,0,22,33,0.1,14,15,0.1
2,Arunachal Pradesh,5,5,1.1,1,1,0.2,4,4,0.9,0,0,0
3,Assam,31,33,0.3,3,3,0,28,30,0.2,2,2,0
4,Bihar,111,112,0.2,3,3,0,108,109,0.2,0,0,0
5,Chhattisgarh,51,57,0.5,3,3,0,48,54,0.5,11,11,0.1
6,Goa,1,1,0.2,0,0,0,1,1,0.2,1,1,0.2
7,Gujarat,74,87,0.4,4,4,0,70,83,0.3,6,6,0
8,Haryana,53,57,0.6,11,11,0.1,42,46,0.5,18,18,0.2
9,Himachal Pradesh,5,5,0.2,2,2,0.1,3,3,0.1,2,2,0.1
10,Jammu & Kashmir,4,4,0.1,1,1,0,3,3,0.1,0,0,0
11,Jharkhand,43,43,0.3,2,2,0,41,41,0.3,2,2,0
12,Karnataka,94,107,0.5,11,11,0.1,83,96,0.4,14,14,0.1
13,Kerala,24,24,0.3,3,3,0,21,21,0.2,0,0,0
14,Madhya Pradesh,145,158,0.5,18,18,0.1,127,140,0.4,59,59,0.2
15,Maharashtra,149,169,0.4,6,6,0,143,163,0.4,37,37,0.1
16,Manipur,1,1,0.1,0,0,0,1,1,0.1,1,1,0.1
17,Meghalaya,6,9,0.6,1,1,0.1,5,8,0.5,0,0,0
18,Mizoram,1,1,0.3,0,0,0,1,1,0.3,0,0,0
19,Nagaland,2,4,0.3,0,0,0,2,4,0.3,0,0,0
20,Odisha,8,9,0.1,1,1,0,7,8,0,0,0,0
21,Punjab,41,47,0.5,1,1,0,40,46,0.5,8,10,0.1
22,Rajasthan,27,29,0.1,2,2,0,25,27,0.1,8,8,0
23,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
24,Tamil Nadu,74,92,0.4,8,8,0,66,84,0.3,6,8,0
25,Telangana,30,37,0.3,6,7,0.1,24,30,0.2,8,8,0.1
26,Tripura,10,10,0.8,0,0,0,10,10,0.8,1,1,0.1
27,Uttar Pradesh,271,291,0.3,30,30,0,241,261,0.3,9,10,0
28,Uttarakhand,8,10,0.2,2,2,0.1,6,8,0.2,5,5,0.1
29,West Bengal,63,64,0.2,6,6,0,57,58,0.2,30,30,0.1
30,A&N Islands,0,0,0,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
34,Delhi,54,56,1,3,3,0.1,51,53,0.9,2,2,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
