SL,State,Cyber_Total_I,Cyber_Total_V,Cyber_Total_R,Sec67_I,Sec67_V,Sec67_R,Other_Cyber_I,Other_Cyber_V,Other_Cyber_R
1,Andhra Pradesh,36,36,0.1,11,11,0.0,25,25,0.1
2,Arunachal Pradesh,4,4,0.5,4,4,0.5,0,0,0.0
3,Assam,329,331,1.9,144,146,0.9,185,185,1.1
4,Bihar,7,7,0.0,4,4,0.0,3,3,0.0
5,Chhattisgarh,23,23,0.2,21,21,0.1,2,2,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,36,36,0.1,21,21,0.1,15,15,0.0
8,Haryana,46,50,0.3,41,45,0.3,5,5,0.0
9,Himachal Pradesh,34,34,0.9,28,28,0.8,6,6,0.2
10,Jammu & Kashmir,6,6,0.1,3,3,0.0,3,3,0.0
11,Jharkhand,3,3,0.0,1,1,0.0,2,2,0.0
12,Karnataka,73,74,0.2,72,73,0.2,1,1,0.0
13,Kerala,61,64,0.3,43,46,0.2,18,18,0.1
14,Madhya Pradesh,61,64,0.2,60,63,0.2,1,1,0.0
15,Maharashtra,86,86,0.1,42,42,0.1,44,44,0.1
16,Manipur,1,1,0.1,1,1,0.1,0,0,0.0
17,Meghalaya,2,2,0.1,2,2,0.1,0,0,0.0
18,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
19,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
20,Odisha,390,390,1.7,341,341,1.5,49,49,0.2
21,Punjab,22,22,0.2,16,16,0.1,6,6,0.0
22,Rajasthan,41,41,0.1,28,28,0.1,13,13,0.0
23,Sikkim,1,1,0.3,1,1,0.3,0,0,0.0
24,Tamil Nadu,38,45,0.1,27,34,0.1,11,11,0.0
25,Telangana,66,66,0.4,55,55,0.3,11,11,0.1
26,Tripura,2,3,0.1,2,3,0.1,0,0,0.0
27,Uttar Pradesh,210,210,0.2,178,178,0.2,32,32,0.0
28,Uttarakhand,17,18,0.3,4,5,0.1,13,13,0.2
29,West Bengal,13,13,0.0,2,2,0.0,11,11,0.0
30,A&N Islands,1,1,0.5,0,0,0.0,1,1,0.5
31,Chandigarh,1,1,0.2,1,1,0.2,0,0,0.0
32,D&N Haveli,0,0,0.0,0,0,0.0,0,0,0.0
33,Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
34,Delhi,11,13,0.1,5,7,0.1,6,6,0.1
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
