SL,State,Dowry_I,Dowry_V,Dowry_R,ITP_Total_I,ITP_Total_V,ITP_Total_R,Sec5_I,Sec5_V,Sec5_R,Sec6_I,Sec6_V,Sec6_R
1,Andhra Pradesh,472,480,1.8,88,132,0.3,28,28,0.1,1,1,0
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,1377,1378,8.2,12,12,0.1,0,0,0,0,0,0
4,Bihar,3289,3329,5.7,40,50,0.1,31,31,0.1,4,4,0
5,Chhattisgarh,7,7,0,12,12,0.1,1,1,0,0,0,0
6,Goa,0,0,0,1,1,0.1,1,1,0.1,0,0,0
7,Gujarat,2,2,0,24,26,0.1,0,0,0,14,16,0
8,Haryana,24,24,0.2,28,34,0.2,4,6,0,1,1,0
9,Himachal Pradesh,1,1,0,10,13,0.3,5,5,0.1,3,6,0.1
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0
11,Jharkhand,1899,1899,10.4,4,6,0,0,0,0,1,1,0
12,Karnataka,1745,1764,5.4,214,338,0.7,55,66,0.2,66,123,0.2
13,Kerala,3,3,0,10,13,0.1,0,0,0,3,3,0
14,Madhya Pradesh,59,59,0.1,21,62,0.1,14,55,0,0,0,0
15,Maharashtra,26,28,0,152,259,0.3,42,90,0.1,15,22,0
16,Manipur,0,0,0,0,0,0,0,0,0,0,0,0
17,Meghalaya,1,1,0.1,3,12,0.2,2,11,0.1,0,0,0
18,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
20,Odisha,243,410,1.1,19,22,0.1,0,0,0,1,1,0
21,Punjab,3,3,0,9,9,0.1,0,0,0,0,0,0
22,Rajasthan,4,4,0,40,53,0.1,19,24,0.1,0,0,0
23,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
24,Tamil Nadu,237,239,0.6,349,556,0.9,223,392,0.6,45,71,0.1
25,Telangana,6,6,0,22,34,0.1,5,8,0,0,0,0
26,Tripura,0,0,0,0,0,0,0,0,0,0,0,0
27,Uttar Pradesh,3833,3962,3.5,22,27,0,1,1,0,0,0,0
28,Uttarakhand,26,35,0.5,3,5,0.1,1,3,0,0,0,0
29,West Bengal,7,7,0,97,153,0.2,0,0,0,0,0,0
30,A&N Islands,0,0,0,0,0,0,0,0,0,0,0,0
31,Chandigarh,1,1,0.2,0,0,0,0,0,0,0,0,0
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,1,10,0.8,0,0,0,0,0,0
34,Delhi,26,26,0.3,4,6,0,0,0,0,1,1,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,6,6,0.8,0,0,0,0,0,0,0,0,0
