SL,State,Sec7_I,Sec7_V,Sec7_R,Sec8_I,Sec8_V,Sec8_R,Other_ITP_I,Other_ITP_V,Other_ITP_R,Domestic_I,Domestic_V,Domestic_R
1,Andhra Pradesh,5,5,0.0,0,0,0.0,54,98,0.2,0,0,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,2,2,0.0,0,0,0.0,10,10,0.1,0,0,0.0
4,Bihar,5,15,0.0,0,0,0.0,0,0,0.0,0,0,0.0
5,Chhattisgarh,11,11,0.1,0,0,0.0,0,0,0.0,0,0,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,0,0,0.0,8,8,0.0,2,2,0.0,0,0,0.0
8,Haryana,10,11,0.1,0,0,0.0,13,16,0.1,2,2,0.0
9,Himachal Pradesh,0,0,0.0,0,0,0.0,2,2,0.1,3,3,0.1
10,Jammu & Kashmir,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
11,Jharkhand,0,0,0.0,0,0,0.0,3,5,0.0,73,73,0.4
12,Karnataka,30,44,0.1,14,25,0.0,49,80,0.2,1,1,0.0
13,Kerala,4,5,0.0,0,0,0.0,3,5,0.0,194,195,1.1
14,Madhya Pradesh,5,5,0.0,0,0,0.0,2,2,0.0,248,248,0.6
15,Maharashtra,46,76,0.1,25,28,0.0,24,43,0.0,11,11,0.0
16,Manipur,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
17,Meghalaya,0,0,0.0,0,0,0.0,1,1,0.1,0,0,0.0
18,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
19,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
20,Odisha,2,5,0.0,3,3,0.0,13,13,0.1,1,1,0.0
21,Punjab,4,4,0.0,0,0,0.0,5,5,0.0,3,3,0.0
22,Rajasthan,3,8,0.0,4,4,0.0,14,17,0.0,2,2,0.0
23,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
24,Tamil Nadu,11,11,0.0,5,10,0.0,65,72,0.2,0,0,0.0
25,Telangana,2,2,0.0,1,2,0.0,14,22,0.1,1,1,0.0
26,Tripura,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
27,Uttar Pradesh,10,14,0.0,1,2,0.0,10,10,0.0,5,5,0.0
28,Uttarakhand,0,0,0.0,0,0,0.0,2,2,0.0,0,0,0.0
29,West Bengal,2,2,0.0,0,0,0.0,95,151,0.2,6,6,0.0
30,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
31,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
32,D&N Haveli,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
33,Daman & Diu,1,10,0.8,0,0,0.0,0,0,0.0,0,0,0.0
34,Delhi,0,0,0.0,1,1,0.0,2,4,0.0,3,3,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
