SL,State,Buying_I,Buying_V,Buying_R,Rape_Total_I,Rape_Total_V,Rape_Total_R,Rape_18_I,Rape_18_V,Rape_18_R,Rape_Below18_I,Rape_Below18_V,Rape_Below18_R
1,Andhra Pradesh,0,0,0.0,1188,1204,4.5,574,590,2.2,614,614,2.3
2,Arunachal Pradesh,0,0,0.0,83,83,11.1,29,29,3.9,54,54,7.2
3,Assam,0,0,0.0,1733,1835,10.0,1730,1832,10.0,3,3,0.0
4,Bihar,0,0,0.0,786,786,1.3,786,786,1.3,0,0,0.0
5,Chhattisgarh,0,0,0.0,1093,1093,7.4,1093,1093,7.4,0,0,0.0
6,Goa,0,0,0.0,72,74,9.3,25,25,3.2,47,49,6.1
7,Gujarat,0,0,0.0,589,589,1.8,582,582,1.7,7,7,0.0
8,Haryana,0,0,0.0,1716,1716,12.3,1716,1716,12.3,0,0,0.0
9,Himachal Pradesh,0,0,0.0,358,360,9.8,143,143,3.9,215,217,5.9
10,Jharkhand,0,0,0.0,1425,1425,7.6,1130,1130,6.0,295,295,1.6
11,Karnataka,0,0,0.0,555,559,1.7,555,559,1.7,0,0,0.0
12,Kerala,0,0,0.0,771,786,4.2,771,786,4.2,0,0,0.0
13,Madhya Pradesh,1,1,0.0,2947,2947,7.2,2947,2947,7.2,0,0,0.0
14,Maharashtra,0,0,0.0,2496,2506,4.2,2468,2478,4.1,28,28,0.0
15,Manipur,0,0,0.0,26,26,1.6,26,26,1.6,0,0,0.0
16,Meghalaya,0,0,0.0,75,75,4.6,74,74,4.5,1,1,0.1
17,Mizoram,0,0,0.0,26,26,4.3,24,24,4.0,2,2,0.3
18,Nagaland,0,0,0.0,4,4,0.4,4,4,0.4,0,0,0.0
19,Odisha,0,0,0.0,1456,1456,6.4,1456,1456,6.4,0,0,0.0
20,Punjab,0,0,0.0,464,508,3.2,454,498,3.1,10,10,0.1
21,Rajasthan,0,0,0.0,6337,6342,16.4,4885,4889,12.6,1452,1453,3.8
22,Sikkim,0,0,0.0,8,8,2.5,8,8,2.5,0,0,0.0
23,Tamil Nadu,0,0,0.0,422,422,1.1,422,422,1.1,0,0,0.0
24,Telangana,0,0,0.0,823,823,4.4,823,823,4.4,0,0,0.0
25,Tripura,0,0,0.0,61,61,3.0,61,61,3.0,0,0,0.0
26,Uttar Pradesh,1,1,0.0,2845,2845,2.6,2589,2589,2.3,256,256,0.2
27,Uttarakhand,0,0,0.0,534,534,9.6,534,534,9.6,0,0,0.0
28,West Bengal,0,0,0.0,1123,1123,2.3,1123,1123,2.3,0,0,0.0
29,A&N Islands,0,0,0.0,15,15,7.9,15,15,7.9,0,0,0.0
30,Chandigarh,0,0,0.0,74,74,13.3,28,28,5.0,46,46,8.3
31,D&N Haveli and Daman & Diu,0,0,0.0,3,3,0.8,3,3,0.8,0,0,0.0
32,Delhi,0,0,0.0,1250,1251,12.9,1250,1251,12.9,0,0,0.0
33,Jammu & Kashmir,0,0,0.0,315,315,4.9,313,313,4.9,2,2,0.0
34,Ladakh,0,0,0.0,2,2,1.5,1,1,0.8,1,1,0.8
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,2,2,0.2,2,2,0.2,0,0,0.0
