SL,State,Others_I,Others_V,Others_R,Trafficking_I,Trafficking_V,Trafficking_R,Selling_I,Selling_V,Selling_R
1,Andhra Pradesh,22,22,0.1,71,94,0.3,0,0,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,662,680,3.8,68,169,0.4,0,0,0.0
4,Bihar,1198,1199,2.0,15,44,0.0,1,1,0.0
5,Chhattisgarh,20,21,0.1,14,17,0.1,0,0,0.0
6,Goa,8,8,1.0,14,37,1.8,0,0,0.0
7,Gujarat,19,19,0.1,10,13,0.0,0,0,0.0
8,Haryana,737,750,5.3,15,19,0.1,3,3,0.0
9,Himachal Pradesh,9,9,0.2,1,1,0.0,0,0,0.0
10,Jharkhand,4,4,0.0,35,37,0.2,0,0,0.0
11,Karnataka,24,24,0.1,8,10,0.0,0,0,0.0
12,Kerala,13,13,0.1,60,68,0.3,0,0,0.0
13,Madhya Pradesh,24,24,0.1,52,59,0.1,3,6,0.0
14,Maharashtra,30,30,0.1,270,512,0.5,1,1,0.0
15,Manipur,4,4,0.3,1,1,0.1,0,0,0.0
16,Meghalaya,0,0,0.0,1,2,0.1,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,4,4,0.0,93,96,0.4,0,0,0.0
20,Punjab,26,27,0.2,2,2,0.0,0,0,0.0
21,Rajasthan,2217,2226,5.7,3,3,0.0,0,0,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,15,15,0.0,1,1,0.0,0,0,0.0
24,Telangana,55,55,0.3,115,213,0.6,0,0,0.0
25,Tripura,5,5,0.2,1,1,0.0,0,0,0.0
26,Uttar Pradesh,0,0,0.0,6,9,0.0,0,0,0.0
27,Uttarakhand,145,145,2.6,1,1,0.0,2,2,0.0
28,West Bengal,2541,2558,5.3,30,49,0.1,2,2,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,7,7,1.3,1,1,0.2,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,325,332,3.4,24,119,0.2,0,0,0.0
33,Jammu & Kashmir,114,114,1.8,2,2,0.0,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
