SL,State,Illiterate,Upto_Primary,Primary_to_Matric,Matric_to_Higher_Secondary,Above_Higher_Secondary,Total_Education,Living_with_Parents,Living_with_Guardians,Homeless,Total_Family
1,Andhra Pradesh,122,240,424,105,9,900,722,65,113,900
2,Arunachal Pradesh,0,2,23,8,0,33,25,8,0,33
3,Assam,41,100,98,15,0,254,226,14,14,254
4,Bihar,218,213,311,93,34,869,654,147,68,869
5,Chhattisgarh,159,830,1346,203,15,2553,2157,284,112,2553
6,Goa,0,10,15,3,1,29,27,1,1,29
7,Gujarat,86,933,924,197,31,2171,2099,25,47,2171
8,Haryana,127,322,614,159,49,1271,1013,130,128,1271
9,Himachal Pradesh,2,55,149,39,0,245,242,3,0,245
10,Jharkhand,0,31,13,15,0,59,59,0,0,59
11,Karnataka,12,98,332,86,3,531,497,18,16,531
12,Kerala,0,20,224,166,24,434,402,20,12,434
13,Madhya Pradesh,465,1808,2463,611,150,5497,3520,1166,811,5497
14,Maharashtra,179,1120,2774,936,71,5080,4307,686,87,5080
15,Manipur,5,8,13,2,0,28,26,2,0,28
16,Meghalaya,4,22,46,0,0,72,69,3,0,72
17,Mizoram,7,3,12,0,0,22,22,0,0,22
18,Nagaland,0,2,7,2,0,11,5,3,3,11
19,Odisha,11,262,1009,78,0,1360,1279,53,28,1360
20,Punjab,23,64,193,40,12,332,296,14,22,332
21,Rajasthan,178,666,1261,605,220,2930,2618,252,60,2930
22,Sikkim,0,2,10,1,0,13,13,0,0,13
23,Tamil Nadu,60,712,2339,487,245,3843,3588,170,85,3843
24,Telangana,174,233,422,355,82,1266,1120,56,90,1266
25,Tripura,1,6,18,4,0,29,18,1,10,29
26,Uttar Pradesh,144,293,575,382,64,1458,1081,208,169,1458
27,Uttarakhand,20,13,28,17,7,85,40,36,9,85
28,West Bengal,49,111,401,62,7,630,440,79,111,630
29,A&N Islands,5,5,12,3,0,25,24,1,0,25
30,Chandigarh,2,12,58,6,0,78,68,6,4,78
31,D&N Haveli and Daman & Diu,0,3,26,0,0,29,27,2,0,29
32,Delhi,406,995,1265,238,36,2940,2396,289,255,2940
33,Jammu & Kashmir,11,45,87,48,24,215,199,0,16,215
34,Ladakh,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,2,0,0,2,2,0,0,2
36,Puducherry,41,13,0,0,4,58,4,0,54,58
