SNo,State,Male<18,Female<18,Total<18,Male>18,Female>18,Total>18,MaleTotal,FemaleTotal,GrandTotal
1,Andhra Pradesh,8,9,17,0,192,192,8,201,209
2,Arunachal Pradesh,4,15,19,0,1,1,4,16,20
3,Assam,21,85,106,36,66,102,57,151,208
4,Bihar,261,92,353,66,91,157,327,183,510
5,Chhattisgarh,7,14,21,6,25,31,13,39,52
6,Goa,0,1,1,0,25,25,0,26,26
7,Gujarat,11,9,20,7,8,15,18,17,35
8,Haryana,2,6,8,44,44,88,46,50,96
9,Himachal Pradesh,0,0,0,0,31,31,0,31,31
10,Jharkhand,53,79,132,25,43,68,78,122,200
11,Karnataka,3,1,4,0,32,32,3,33,36
12,Kerala,24,80,104,9,25,34,33,105,138
13,Madhya Pradesh,19,37,56,10,59,69,29,96,125
14,Maharashtra,79,60,139,17,779,796,96,839,935
15,Manipur,3,0,3,0,0,0,3,0,3
16,Meghalaya,0,0,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0,0,0
19,Odisha,167,181,348,494,463,957,661,644,1305
20,Punjab,26,7,33,26,28,54,52,35,87
21,Rajasthan,343,15,358,1,4,5,344,19,363
22,Sikkim,0,0,0,0,0,0,0,0,0
23,Tamil Nadu,0,0,0,0,0,0,0,0,0
24,Telangana,19,16,35,3,588,591,22,604,626
25,Tripura,4,8,12,38,17,55,42,25,67
26,Uttar Pradesh,1,65,66,0,130,130,1,195,196
27,Uttarakhand,6,35,41,0,17,17,6,52,58
28,West Bengal,6,44,50,4,17,21,10,61,71
29,A & N Islands,0,0,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,13,13,0,13,13
31,DNH and Daman & Diu,0,0,0,0,0,0,0,0,0
32,Delhi UT,605,144,749,41,52,93,646,196,842
33,Jammu & Kashmir,2,8,10,0,9,9,2,17,19
34,Ladakh,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,2,2,0,15,15,0,17,17
