SL,State,Immoral_Traffic_Act,POCSO_Act,Juvenile_Justice_Act,Child_Marriage_Act,Child_Labour_Act,SC_ST_Atrocities_Act
1,Andhra Pradesh,0,16,1,0,0,0
2,Arunachal Pradesh,0,0,0,0,0,0
3,Assam,0,38,0,0,0,0
4,Bihar,0,6,0,0,0,0
5,Chhattisgarh,0,250,1,0,0,0
6,Goa,0,0,0,0,0,0
7,Gujarat,1,154,1,0,0,1
8,Haryana,0,160,0,0,0,0
9,Himachal Pradesh,1,2,0,0,0,4
10,Jharkhand,0,0,0,0,0,0
11,Karnataka,0,74,3,1,0,1
12,Kerala,0,84,0,0,0,0
13,Madhya Pradesh,0,407,0,0,0,0
14,Maharashtra,0,231,0,0,1,0
15,Manipur,0,1,0,0,0,0
16,Meghalaya,0,34,0,0,0,0
17,Mizoram,0,9,0,0,0,0
18,Nagaland,0,1,0,0,0,0
19,Odisha,0,8,0,0,0,0
20,Punjab,1,8,0,0,0,0
21,Rajasthan,1,3,0,0,0,0
22,Sikkim,0,5,0,0,0,0
23,Tamil Nadu,0,184,61,0,8,6
24,Telangana,0,79,1,0,0,0
25,Tripura,0,9,0,0,0,0
26,Uttar Pradesh,0,198,0,0,0,0
27,Uttarakhand,0,1,0,0,0,0
28,West Bengal,1,131,1,0,0,0
29,A&N Islands,0,6,0,0,0,0
30,Chandigarh,0,0,0,0,0,0
31,D&N Haveli and Daman & Diu,0,4,0,0,0,0
32,Delhi,0,109,0,0,0,0
33,Jammu & Kashmir,0,14,0,0,0,0
34,Ladakh,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,8,0,0,0,0
