SL,State,Information_Technology_Act,Copyright_Act,Chit_Funds_Act,Prohibition_Act,Excise_Act,Mines_Minerals_Act
1,Andhra Pradesh,1,0,0,0,13,20
2,Arunachal Pradesh,0,0,0,0,0,0
3,Assam,0,0,0,0,0,0
4,Bihar,0,0,0,0,80,0
5,Chhattisgarh,2,0,0,0,0,32
6,Goa,1,0,0,0,0,0
7,Gujarat,7,0,0,0,114,0
8,Haryana,4,0,0,0,0,9
9,Himachal Pradesh,2,0,0,0,0,2
10,Jharkhand,0,0,0,0,0,0
11,Karnataka,5,0,0,0,0,0
12,Kerala,1,1,0,0,0,0
13,Madhya Pradesh,3,0,1,0,0,609
14,Maharashtra,0,0,0,0,52,0
15,Manipur,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0
17,Mizoram,0,0,0,0,1,0
18,Nagaland,0,0,0,0,0,0
19,Odisha,0,0,0,0,0,0
20,Punjab,0,0,0,0,0,9
21,Rajasthan,5,0,0,6,0,22
22,Sikkim,0,0,0,0,0,0
23,Tamil Nadu,3,0,0,11,14,0
24,Telangana,0,0,0,0,0,4
25,Tripura,0,0,0,0,0,0
26,Uttar Pradesh,2,0,0,0,0,5
27,Uttarakhand,1,0,0,0,0,0
28,West Bengal,0,0,0,0,0,1
29,A&N Islands,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0
31,D&N Haveli and Daman & Diu,0,0,0,0,0,0
32,Delhi,13,0,0,0,0,45
33,Jammu & Kashmir,0,0,0,0,0,1
34,Ladakh,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0
