SL,State,Railways_Act,Essential_Commodities_Act,Food_Adulteration_Act,Food_Safety_Standards_Act,Gambling_Act,Electricity_Act
1,Andhra Pradesh,0,0,0,0,0,0
2,Arunachal Pradesh,0,0,0,0,0,0
3,Assam,0,0,0,0,1,0
4,Bihar,0,0,0,0,0,0
5,Chhattisgarh,0,0,0,0,1,0
6,Goa,0,0,0,0,0,0
7,Gujarat,0,0,0,0,10,0
8,Haryana,0,1,0,0,1,0
9,Himachal Pradesh,0,0,0,0,0,0
10,Jharkhand,0,0,0,0,0,0
11,Karnataka,0,2,0,0,1,0
12,Kerala,0,0,0,0,0,0
13,Madhya Pradesh,0,5,1,0,51,0
14,Maharashtra,1,0,0,1,17,9
15,Manipur,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0
19,Odisha,0,0,0,0,0,0
20,Punjab,0,0,0,0,0,0
21,Rajasthan,0,0,0,0,3,2
22,Sikkim,0,0,0,0,0,0
23,Tamil Nadu,3,1,0,0,5,0
24,Telangana,0,0,0,0,2,0
25,Tripura,0,0,0,0,0,0
26,Uttar Pradesh,0,0,0,0,1,0
27,Uttarakhand,0,0,0,0,0,0
28,West Bengal,0,0,0,0,1,1
29,A&N Islands,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0
31,D&N Haveli and Daman & Diu,0,0,0,0,0,0
32,Delhi,0,0,0,0,5,0
33,Jammu & Kashmir,0,0,0,0,1,0
34,Ladakh,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0
