SL,State,Missing_I,Missing_V,Missing_R,Other_Kidnap_I,Other_Kidnap_V,Other_Kidnap_R,Begging_I,Begging_V,Begging_R
1,Andhra Pradesh,39,39,0.3,269,274,1.8,0,0,0.0
2,Arunachal Pradesh,14,14,2.4,13,14,2.2,0,0,0.0
3,Assam,371,373,3.1,271,278,2.2,39,39,0.3
4,Bihar,685,694,1.4,355,367,0.7,0,0,0.0
5,Chhattisgarh,888,899,9.1,1725,1965,17.7,0,0,0.0
6,Goa,49,56,12.8,14,15,3.7,0,0,0.0
7,Gujarat,547,564,2.6,422,440,2.0,1,1,0.0
8,Haryana,304,312,3.3,319,336,3.5,3,3,0.0
9,Himachal Pradesh,73,76,3.4,187,195,8.7,0,0,0.0
10,Jharkhand,20,20,0.1,1,1,0.0,5,5,0.0
11,Karnataka,3133,3196,16.2,95,96,0.5,0,0,0.0
12,Kerala,38,38,0.4,110,116,1.2,0,0,0.0
13,Madhya Pradesh,6444,6500,22.4,3389,3400,11.8,0,0,0.0
14,Maharashtra,7963,8273,22.1,4126,4698,11.4,0,0,0.0
15,Manipur,2,2,0.2,0,0,0.0,0,0,0.0
16,Meghalaya,24,24,1.7,31,31,2.2,0,0,0.0
17,Mizoram,1,1,0.2,2,2,0.5,0,0,0.0
18,Nagaland,0,0,0.0,1,1,0.1,0,0,0.0
19,Odisha,5871,5872,40.7,34,34,0.2,0,0,0.0
20,Punjab,6,6,0.1,12,14,0.1,1,1,0.0
21,Rajasthan,2648,2659,9.4,1793,1806,6.4,9,9,0.0
22,Sikkim,27,35,13.1,6,8,2.9,0,0,0.0
23,Tamil Nadu,3,3,0.0,34,34,0.2,2,2,0.0
24,Telangana,758,764,6.7,995,1028,8.7,2,2,0.0
25,Tripura,8,8,0.7,35,38,2.9,0,0,0.0
26,Uttar Pradesh,2380,2397,2.8,1960,2059,2.3,1,1,0.0
27,Uttarakhand,491,492,12.9,49,51,1.3,2,2,0.1
28,West Bengal,1490,1494,5.0,2331,2480,7.8,0,0,0.0
29,A&N Islands,13,13,11.6,9,9,8.0,0,0,0.0
30,Chandigarh,140,146,43.2,5,5,1.5,0,0,0.0
31,D&N Haveli and Daman & Diu,44,44,22.9,3,3,1.6,0,0,0.0
32,Delhi,3235,3319,58.4,2229,2329,40.3,0,0,0.0
33,Jammu & Kashmir,114,117,2.3,255,268,5.2,0,0,0.0
34,Ladakh,4,5,4.7,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,17,17,4.7,3,3,0.8,0,0,0.0
