SL,State,Attempt_Murder_I,Attempt_Murder_V,Attempt_Murder_R,Infanticide_I,Infanticide_V,Infanticide_R,Foeticide_I,Foeticide_V,Foeticide_R,Exposure_I,Exposure_V,Exposure_R
1,Andhra Pradesh,7,7,0.0,10,10,0.1,1,1,0.0,12,12,0.1
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
4,Bihar,64,79,0.1,0,0,0.0,0,0,0.0,0,0,0.0
5,Chhattisgarh,20,20,0.2,5,5,0.1,21,21,0.2,29,29,0.3
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0,4,4,1.0
7,Gujarat,5,5,0.0,3,3,0.0,23,23,0.1,102,102,0.5
8,Haryana,5,5,0.1,5,5,0.1,14,14,0.2,28,32,0.3
9,Himachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,13,13,0.6
10,Jharkhand,3,3,0.0,1,1,0.0,0,0,0.0,7,7,0.1
11,Karnataka,18,19,0.1,5,5,0.0,2,2,0.0,69,76,0.4
12,Kerala,18,20,0.2,0,0,0.0,0,0,0.0,14,19,0.1
13,Madhya Pradesh,50,53,0.2,6,6,0.0,23,23,0.1,159,159,0.6
14,Maharashtra,34,34,0.1,5,5,0.0,6,6,0.0,132,139,0.4
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
16,Meghalaya,0,0,0.0,4,4,0.3,0,0,0.0,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,1,1,0.1,0,0,0.0,1,1,0.1
19,Odisha,2,2,0.0,1,1,0.0,0,0,0.0,0,0,0.0
20,Punjab,1,1,0.0,1,1,0.0,9,9,0.1,18,20,0.2
21,Rajasthan,2,2,0.0,7,8,0.0,13,13,0.0,66,67,0.2
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5
23,Tamil Nadu,16,17,0.1,15,15,0.1,0,0,0.0,4,4,0.0
24,Telangana,7,8,0.1,1,1,0.0,1,1,0.0,7,8,0.1
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,3,3,0.0,0,0,0.0,0,0,0.0,2,2,0.0
27,Uttarakhand,0,0,0.0,0,0,0.0,2,2,0.1,2,2,0.1
28,West Bengal,13,16,0.0,0,0,0.0,0,0,0.0,0,0,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,1,1,0.3,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,16,16,0.3,5,5,0.1,3,3,0.1,30,34,0.5
33,Jammu & Kashmir,0,0,0.0,4,4,0.1,3,3,0.1,9,9,0.2
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
