SL,State,Sec377_Total_I,Sec377_Total_V,Sec377_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,1,2,0.0,0,0,0.0,1,2,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,0,0,0.0,0,0,0.0,0,0,0.0
4,Bihar,9,9,0.0,1,1,0.0,8,8,0.0
5,Chhattisgarh,9,9,0.1,0,0,0.0,9,9,0.1
6,Goa,4,4,1.0,0,0,0.0,4,4,1.0
7,Gujarat,14,16,0.1,0,0,0.0,14,16,0.1
8,Haryana,31,31,0.3,4,4,0.0,27,27,0.3
9,Himachal Pradesh,1,1,0.0,0,0,0.0,1,1,0.0
10,Jharkhand,2,2,0.0,0,0,0.0,2,2,0.0
11,Karnataka,4,4,0.0,0,0,0.0,4,4,0.0
12,Kerala,138,138,1.5,2,2,0.0,136,136,1.4
13,Madhya Pradesh,66,68,0.2,1,2,0.0,65,66,0.2
14,Maharashtra,111,115,0.3,10,10,0.0,101,105,0.3
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0
16,Meghalaya,0,0,0.0,0,0,0.0,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,0,0,0.0,0,0,0.0,0,0,0.0
20,Punjab,24,24,0.3,1,1,0.0,23,23,0.3
21,Rajasthan,15,15,0.1,1,1,0.0,14,14,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,2,2,0.0,2,2,0.0,0,0,0.0
24,Telangana,7,7,0.1,0,0,0.0,7,7,0.1
25,Tripura,1,1,0.1,0,0,0.0,1,1,0.1
26,Uttar Pradesh,68,68,0.1,1,1,0.0,67,67,0.1
27,Uttarakhand,16,16,0.4,0,0,0.0,16,16,0.4
28,West Bengal,6,6,0.0,0,0,0.0,6,6,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,1,1,0.5,0,0,0.0,1,1,0.5
32,Delhi,66,68,1.2,4,4,0.1,62,64,1.1
33,Jammu & Kashmir,4,4,0.1,0,0,0.0,4,4,0.1
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
