SL,State,Cyber_Total_I,Cyber_Total_V,Cyber_Total_R,Explicit_I,Explicit_V,Explicit_R,Other_I,Other_V,Other_R
1,Andhra Pradesh,15,15,0.1,15,15,0.1,0,0,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,36,36,0.3,21,21,0.2,15,15,0.1
4,Bihar,1,1,0.0,1,1,0.0,0,0,0.0
5,Chhattisgarh,9,9,0.1,3,3,0.0,6,6,0.1
6,Goa,3,3,0.8,0,0,0.0,3,3,0.8
7,Gujarat,4,4,0.0,1,1,0.0,3,3,0.0
8,Haryana,22,22,0.2,16,16,0.2,6,6,0.1
9,Himachal Pradesh,19,19,0.9,17,17,0.8,2,2,0.1
10,Jharkhand,4,4,0.0,0,0,0.0,4,4,0.0
11,Karnataka,144,144,0.7,122,122,0.6,22,22,0.1
12,Kerala,107,112,1.1,101,101,1.1,6,11,0.1
13,Madhya Pradesh,24,24,0.1,20,20,0.1,4,4,0.0
14,Maharashtra,137,143,0.4,123,129,0.3,14,14,0.0
15,Manipur,3,3,0.3,3,3,0.3,0,0,0.0
16,Meghalaya,0,0,0.0,0,0,0.0,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,71,71,0.5,71,71,0.5,0,0,0.0
20,Punjab,10,10,0.1,8,8,0.1,2,2,0.0
21,Rajasthan,7,7,0.0,6,6,0.0,1,1,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,29,29,0.1,28,28,0.1,1,1,0.0
24,Telangana,7,7,0.1,7,7,0.1,0,0,0.0
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,170,170,0.2,161,161,0.2,9,9,0.0
27,Uttarakhand,11,11,0.3,11,11,0.3,0,0,0.0
28,West Bengal,2,3,0.0,0,0,0.0,2,3,0.0
29,A&N Islands,1,1,0.9,1,1,0.9,0,0,0.0
30,Chandigarh,3,3,0.9,1,1,0.3,2,2,0.6
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,2,2,0.0,1,1,0.0,1,1,0.0
33,Jammu & Kashmir,1,1,0.0,0,0,0.0,1,1,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
