SL,State,Sec17_22_Total_I,Sec17_22_Total_V,Sec17_22_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,11,11,0.1,11,11,0.1,0,0,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,1,1,0.0,1,1,0.0,0,0,0.0
4,Bihar,4,4,0.0,4,4,0.0,0,0,0.0
5,Chhattisgarh,6,6,0.1,6,6,0.1,0,0,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,74,74,0.4,74,74,0.4,0,0,0.0
8,Haryana,19,19,0.2,16,16,0.2,3,3,0.0
9,Himachal Pradesh,1,1,0.0,1,1,0.0,0,0,0.0
10,Jharkhand,1,1,0.0,1,1,0.0,0,0,0.0
11,Karnataka,10,10,0.1,10,10,0.1,0,0,0.0
12,Kerala,13,14,0.1,8,8,0.1,5,6,0.1
13,Madhya Pradesh,7,7,0.0,7,7,0.0,0,0,0.0
14,Maharashtra,5,6,0.0,4,5,0.0,1,1,0.0
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0
16,Meghalaya,2,2,0.1,2,2,0.1,0,0,0.0
17,Mizoram,2,2,0.5,2,2,0.5,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,0,0,0.0,0,0,0.0,0,0,0.0
20,Punjab,3,3,0.0,3,3,0.0,0,0,0.0
21,Rajasthan,180,180,0.6,179,179,0.6,1,1,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,29,30,0.1,28,29,0.1,1,1,0.0
24,Telangana,6,6,0.1,6,6,0.1,0,0,0.0
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,199,199,0.2,197,197,0.2,2,2,0.0
27,Uttarakhand,0,0,0.0,0,0,0.0,0,0,0.0
28,West Bengal,25,25,0.1,24,24,0.1,1,1,0.0
29,A&N Islands,1,1,0.9,1,1,0.9,0,0,0.0
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,0,0,0.0,0,0,0.0,0,0,0.0
33,Jammu & Kashmir,8,8,0.2,7,7,0.1,1,1,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,1,1,5.0,1,1,5.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
