SL,State,POCSO_Total_I,POCSO_Total_V,POCSO_Total_R,Sec4_6_Total_I,Sec4_6_Total_V,Sec4_6_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,454,461,3.0,272,276,1.8,271,274,1.8,1,2,0.0
2,Arunachal Pradesh,28,28,4.7,17,17,2.9,16,16,2.7,1,1,0.2
3,Assam,1496,1527,12.4,1049,1078,8.7,1049,1078,8.7,0,0,0.0
4,Bihar,1591,1593,3.3,628,628,1.3,628,628,1.3,0,0,0.0
5,Chhattisgarh,2049,2059,21.0,1535,1542,15.7,1534,1541,15.7,1,1,0.0
6,Goa,5,5,1.3,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,2345,2360,11.2,1871,1881,8.9,1871,1881,8.9,0,0,0.0
8,Haryana,1853,1857,20.3,1101,1103,12.1,1032,1034,11.3,69,69,0.8
9,Himachal Pradesh,5,5,0.2,0,0,0.0,0,0,0.0,0,0,0.0
10,Jharkhand,938,941,6.8,681,684,4.9,679,682,4.9,2,2,0.0
11,Karnataka,2104,2159,10.9,1601,1650,8.3,1598,1647,8.3,3,3,0.0
12,Kerala,2163,2209,23.0,1273,1289,13.5,1243,1259,13.2,30,30,0.3
13,Madhya Pradesh,5648,5670,19.6,3259,3262,11.3,3259,3262,11.3,0,0,0.0
14,Maharashtra,5687,5756,15.7,2785,2800,7.7,2785,2800,7.7,0,0,0.0
15,Manipur,75,76,7.3,55,56,5.3,55,56,5.3,0,0,0.0
16,Meghalaya,328,336,23.8,251,259,18.2,247,251,17.9,4,8,0.3
17,Mizoram,105,110,24.9,61,64,14.4,57,58,13.5,4,6,0.9
18,Nagaland,18,21,2.2,15,16,1.8,14,14,1.7,1,2,0.1
19,Odisha,2202,2202,15.3,1629,1629,11.3,1629,1629,11.3,0,0,0.0
20,Punjab,720,726,8.2,549,554,6.3,549,554,6.3,0,0,0.0
21,Rajasthan,244,244,0.9,2,2,0.0,1,1,0.0,1,1,0.0
22,Sikkim,98,100,47.6,70,72,34.0,70,72,34.0,0,0,0.0
23,Tamil Nadu,3090,3143,15.0,2229,2254,10.8,2205,2227,10.7,24,27,0.1
24,Telangana,2074,2096,18.2,1415,1429,12.4,1415,1429,12.4,0,0,0.0
25,Tripura,143,144,11.6,86,87,7.0,86,87,7.0,0,0,0.0
26,Uttar Pradesh,6898,6904,8.1,2630,2630,3.1,2533,2533,3.0,97,97,0.1
27,Uttarakhand,573,573,15.1,396,396,10.4,396,396,10.4,0,0,0.0
28,West Bengal,2657,2722,8.9,1541,1605,5.1,1522,1586,5.1,19,19,0.1
29,A&N Islands,118,118,105.1,105,105,93.5,104,104,92.6,1,1,0.9
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,42,42,21.9,39,39,20.3,39,39,20.3,0,0,0.0
32,Delhi,1197,1199,21.6,721,721,13.0,721,721,13.0,0,0,0.0
33,Jammu & Kashmir,200,200,4.1,152,152,3.1,152,152,3.1,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,8,8,40.2,3,3,15.1,3,3,15.1,0,0,0.0
36,Puducherry,65,65,18.1,44,44,12.3,44,44,12.3,0,0,0.0
