SNo,State,Male<18,Female<18,Total<18,Male>18,Female>18,Total>18,MaleTotal,FemaleTotal,GrandTotal
1,Andhra Pradesh,0,18,18,1,380,381,1,398,399
2,Arunachal Pradesh,1,3,4,0,0,0,1,3,4
3,Assam,24,56,80,36,132,168,60,188,248
4,Bihar,261,33,294,0,22,22,261,55,316
5,Chhattisgarh,52,61,113,131,94,225,183,155,338
6,Goa,0,2,2,0,88,88,0,90,90
7,Gujarat,0,2,2,0,20,20,0,22,22
8,Haryana,3,3,6,0,14,14,3,17,20
9,Himachal Pradesh,0,1,1,2,14,16,2,15,17
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
11,Jharkhand,34,138,172,19,48,67,53,186,239
12,Karnataka,12,30,42,32,112,144,44,142,186
13,Kerala,22,155,177,14,27,41,36,182,218
14,Madhya Pradesh,47,76,123,0,92,92,47,168,215
15,Maharashtra,34,61,95,16,875,891,50,936,986
16,Manipur,2,3,5,33,151,184,35,154,189
17,Meghalaya,0,30,30,0,1,1,0,31,31
18,Mizoram,3,22,25,2,27,29,5,49,54
19,Nagaland,0,2,2,0,18,18,0,20,20
20,Odisha,94,108,202,424,250,674,518,358,876
21,Punjab,1,8,9,2,8,10,3,16,19
22,Rajasthan,636,17,653,5,6,11,641,23,664
23,Sikkim,0,0,0,0,2,2,0,2,2
24,Tamil Nadu,21,22,43,18,16,34,39,38,77
25,Telangana,1,70,71,0,263,263,1,333,334
26,Tripura,0,1,1,0,1,1,0,2,2
27,Uttar Pradesh,16,16,32,11,94,105,27,110,137
28,Uttarakhand,5,11,16,0,20,20,5,31,36
29,West Bengal,11,148,159,7,96,103,18,244,262
,TOTAL STATE(S),1280,1097,2377,753,2871,3624,2033,3968,6001
30,A & N Islands,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,1,1,0,1,1,0,0,0
32,D&N Haveli,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0
34,Delhi UT,462,74,536,42,30,72,504,104,608
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,5,5,0,0,0
,TOTAL UT(S),462,75,537,42,36,78,504,111,615
,TOTAL (ALL INDIA),1742,1172,2914,795,2907,3702,2537,4079,6616
