SNo,State,Male<18,Female<18,Total<18,Male>18,Female>18,Total>18,MaleTotal,FemaleTotal,GrandTotal
1,Andhra Pradesh,0,15,15,0,410,410,0,425,425
2,Arunachal Pradesh,0,3,3,0,0,0,0,3,3
3,Assam,20,53,73,31,126,157,51,179,230
4,Bihar,261,33,294,0,22,22,261,55,316
5,Chhattisgarh,52,60,112,131,94,225,183,154,337
6,Goa,0,2,2,0,88,88,0,90,90
7,Gujarat,0,2,2,0,16,16,0,18,18
8,Haryana,3,3,6,0,14,14,3,17,20
9,Himachal Pradesh,0,1,1,0,15,15,0,16,16
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
11,Jharkhand,25,77,102,22,39,61,47,116,163
12,Karnataka,12,30,42,32,112,144,44,142,186
13,Kerala,22,157,179,7,29,36,29,186,215
14,Madhya Pradesh,47,77,124,0,93,93,47,170,217
15,Maharashtra,34,61,95,8,917,925,42,978,1020
16,Manipur,1,3,4,33,151,184,34,154,188
17,Meghalaya,0,29,29,0,0,0,0,29,29
18,Mizoram,3,22,25,2,27,29,5,49,54
19,Nagaland,0,2,2,0,18,18,0,20,20
20,Odisha,94,108,202,424,250,674,518,358,876
21,Punjab,9,9,18,2,7,9,11,16,27
22,Rajasthan,636,17,653,5,6,11,641,23,664
23,Sikkim,0,0,0,0,2,2,0,2,2
24,Tamil Nadu,21,21,42,18,16,34,39,37,76
25,Telangana,1,70,71,0,263,263,1,333,334
26,Tripura,0,2,2,0,1,1,0,3,3
27,Uttar Pradesh,12,20,32,7,98,105,19,118,137
28,Uttarakhand,5,11,16,0,20,20,5,31,36
29,West Bengal,23,131,154,6,94,100,29,225,254
,TOTAL STATE(S),1281,1019,2300,728,2928,3656,2009,3947,5956
30,A & N Islands,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,1,1,0,1,1,0,2,2
32,D&N Haveli,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0
34,Delhi UT,462,74,536,42,30,72,504,104,608
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,5,5,0,5,5
,TOTAL UT(S),462,75,537,42,36,78,504,111,615
,TOTAL (ALL INDIA),1743,1094,2837,770,2964,3734,2513,4058,6571
