SNo,State,Forced Labour,Sexual Exploitation,Other Sexual Exploitation,Domestic Servitude,Forced Marriage,Petty Crimes,Child Pornography,Begging,Drug Peddling,Removal of Organs,Other Reasons,Total Persons
1,Andhra Pradesh,1,316,0,31,14,0,0,0,0,0,63,425
2,Arunachal Pradesh,0,0,0,0,1,0,0,0,0,0,2,3
3,Assam,0,20,0,20,65,0,0,0,0,0,125,230
4,Bihar,180,50,0,59,0,0,0,0,0,0,27,316
5,Chhattisgarh,71,4,0,12,1,0,0,1,0,0,248,337
6,Goa,0,89,0,0,0,0,0,0,0,0,1,90
7,Gujarat,1,11,0,0,1,0,0,0,0,0,5,18
8,Haryana,1,11,0,0,3,0,0,0,0,0,5,20
9,Himachal Pradesh,0,6,0,0,0,1,0,0,0,0,9,16
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0
11,Jharkhand,72,5,0,59,7,0,0,17,0,0,3,163
12,Karnataka,59,35,0,1,1,0,0,0,0,0,90,186
13,Kerala,9,10,0,4,42,2,0,2,0,0,146,215
14,Madhya Pradesh,15,28,0,0,23,1,0,41,0,0,109,217
15,Maharashtra,15,946,0,0,13,7,0,0,0,0,39,1020
16,Manipur,69,0,0,119,0,0,0,0,0,0,0,188
17,Meghalaya,0,12,0,0,1,1,0,0,0,0,15,29
18,Mizoram,54,0,0,0,0,0,0,0,0,0,0,54
19,Nagaland,0,19,0,0,1,0,0,0,0,0,0,20
20,Odisha,0,0,0,0,0,0,0,0,0,0,876,876
21,Punjab,7,8,0,0,1,0,0,0,0,0,11,27
22,Rajasthan,10,7,0,0,5,0,0,0,0,0,642,664
23,Sikkim,0,2,0,0,0,0,0,0,0,0,0,2
24,Tamil Nadu,70,1,0,0,0,0,0,1,0,0,4,76
25,Telangana,0,322,0,0,0,0,0,0,0,0,12,334
26,Tripura,0,1,0,0,2,0,0,0,0,0,0,3
27,Uttar Pradesh,0,73,0,0,24,0,0,0,0,0,40,137
28,Uttarakhand,0,21,0,0,2,0,0,4,0,0,9,36
29,West Bengal,0,68,0,0,15,1,0,1,0,0,169,254
,TOTAL STATE(S),634,2065,0,305,222,13,0,67,0,0,2650,5956
30,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,1,0,0,1,0,0,0,0,0,0,2
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
34,Delhi UT,507,9,0,59,4,0,0,1,0,4,24,608
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,5,0,0,0,0,0,0,0,0,0,5
,TOTAL UT(S),507,15,0,59,5,0,0,1,0,4,24,615
,TOTAL (ALL INDIA),1141,2080,0,364,227,13,0,68,0,4,2674,6571
