SNo,State,Indian_Male,Indian_Female,Indian_Total,SriLanka_Male,SriLanka_Female,SriLanka_Total,Nepal_Male,Nepal_Female,Nepal_Total,Bangladesh_Male,Bangladesh_Female,Bangladesh_Total,Others_Male,Others_Female,Others_Total,Total_Male,Total_Female,Total_Total
1,Andhra Pradesh,0,425,425,0,0,0,0,0,0,0,0,0,0,0,0,0,425,425
2,Arunachal Pradesh,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
3,Assam,51,179,230,0,0,0,0,0,0,0,0,0,0,0,0,51,179,230
4,Bihar,248,55,303,0,0,0,13,0,13,0,0,0,0,0,0,261,55,316
5,Chhattisgarh,183,154,337,0,0,0,0,0,0,0,0,0,0,0,0,183,154,337
6,Goa,0,84,84,0,0,0,0,0,0,0,1,1,0,5,5,0,90,90
7,Gujarat,0,13,13,0,0,0,0,0,0,0,0,0,0,5,5,0,18,18
8,Haryana,3,17,20,0,0,0,0,0,0,0,0,0,0,0,0,3,17,20
9,Himachal Pradesh,0,14,14,0,0,0,0,2,2,0,0,0,0,0,0,0,16,16
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Jharkhand,47,116,163,0,0,0,0,0,0,0,0,0,0,0,0,47,116,163
12,Karnataka,4,110,114,0,0,0,9,1,10,31,27,58,0,4,4,44,142,186
13,Kerala,29,186,215,0,0,0,0,0,0,0,0,0,0,0,0,29,186,215
14,Madhya Pradesh,47,170,217,0,0,0,0,0,0,0,0,0,0,0,0,47,170,217
15,Maharashtra,42,907,949,0,0,0,0,8,8,0,32,32,0,31,31,42,978,1020
16,Manipur,1,2,3,0,0,0,33,152,185,0,0,0,0,0,0,34,154,188
17,Meghalaya,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29
18,Mizoram,5,49,54,0,0,0,0,0,0,0,0,0,0,0,0,5,49,54
19,Nagaland,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
20,Odisha,518,358,876,0,0,0,0,0,0,0,0,0,0,0,0,518,358,876
21,Punjab,11,16,27,0,0,0,0,0,0,0,0,0,0,0,0,11,16,27
22,Rajasthan,640,22,662,0,0,0,1,1,2,0,0,0,0,0,0,641,23,664
23,Sikkim,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
24,Tamil Nadu,38,36,74,0,0,0,0,0,0,1,1,2,0,0,0,39,37,76
25,Telangana,1,327,328,0,0,0,0,0,0,0,5,5,0,1,1,1,333,334
26,Tripura,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
27,Uttar Pradesh,19,118,137,0,0,0,0,0,0,0,0,0,0,0,0,19,118,137
28,Uttarakhand,5,30,35,0,0,0,0,1,1,0,0,0,0,0,0,5,31,36
29,West Bengal,29,225,254,0,0,0,0,0,0,0,0,0,0,0,0,29,225,254
,TOTAL STATE(S),1921,3670,5591,0,0,0,56,165,221,32,66,98,0,46,46,2009,3947,5956
30,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Delhi UT,497,103,600,0,0,0,7,0,7,0,0,0,0,1,1,504,104,608
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
,TOTAL UT(S),497,110,607,0,0,0,7,0,7,0,0,0,0,1,1,504,111,615
,TOTAL (ALL INDIA),2418,3780,6198,0,0,0,63,165,228,32,66,98,0,47,47,2513,4058,6571
