SL,State,Sec377_Total_I,Sec377_Total_V,Sec377_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,7,7,0.0,0,0,0.0,7,7,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,0,0,0.0,0,0,0.0,0,0,0.0
4,Bihar,18,18,0.0,3,3,0.0,15,15,0.0
5,Chhattisgarh,12,15,0.1,1,1,0.0,11,14,0.1
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,19,23,0.1,1,1,0.0,18,22,0.1
8,Haryana,16,16,0.2,0,0,0.0,16,16,0.2
9,Himachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
10,Jharkhand,2,2,0.0,0,0,0.0,2,2,0.0
11,Karnataka,9,9,0.0,1,1,0.0,8,8,0.0
12,Kerala,198,198,2.1,0,0,0.0,198,198,2.1
13,Madhya Pradesh,65,65,0.2,4,4,0.0,61,61,0.2
14,Maharashtra,104,105,0.3,14,14,0.0,90,91,0.2
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0
16,Meghalaya,0,0,0.0,0,0,0.0,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,13,13,0.1,0,0,0.0,13,13,0.1
20,Punjab,27,29,0.3,0,0,0.0,27,29,0.3
21,Rajasthan,35,35,0.1,1,1,0.0,34,34,0.1
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,2,2,0.0,0,0,0.0,2,2,0.0
24,Telangana,21,21,0.2,0,0,0.0,21,21,0.2
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,53,54,0.1,10,11,0.0,43,43,0.1
27,Uttarakhand,4,4,0.1,3,3,0.1,1,1,0.0
28,West Bengal,7,7,0.0,0,0,0.0,7,7,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,1,1,0.5,0,0,0.0,1,1,0.5
32,Delhi,109,109,2.0,10,10,0.2,99,99,1.8
33,Jammu & Kashmir,12,12,0.2,0,0,0.0,12,12,0.2
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
