SL,State,JJ_Total_I,JJ_Total_V,JJ_Total_R,Caretaker_I,Caretaker_V,Caretaker_R,Other_I,Other_V,Other_R
1,Andhra Pradesh,39,46,0.3,2,2,0.0,37,44,0.2
2,Arunachal Pradesh,7,7,1.2,0,0,0.0,7,7,1.2
3,Assam,82,84,0.7,21,21,0.2,61,63,0.5
4,Bihar,2,2,0.0,0,0,0.0,2,2,0.0
5,Chhattisgarh,0,0,0.0,0,0,0.0,0,0,0.0
6,Goa,4,4,1.0,0,0,0.0,4,4,1.0
7,Gujarat,183,365,0.9,1,1,0.0,182,364,0.9
8,Haryana,121,167,1.3,0,0,0.0,121,167,1.3
9,Himachal Pradesh,15,16,0.7,1,1,0.0,14,15,0.7
10,Jharkhand,7,7,0.1,2,2,0.0,5,5,0.0
11,Karnataka,98,169,0.5,20,69,0.1,78,100,0.4
12,Kerala,185,196,2.0,26,32,0.3,159,164,1.7
13,Madhya Pradesh,4,7,0.0,1,1,0.0,3,6,0.0
14,Maharashtra,111,138,0.3,14,15,0.0,97,123,0.3
15,Manipur,1,1,0.1,0,0,0.0,1,1,0.1
16,Meghalaya,7,9,0.5,1,1,0.1,6,8,0.4
17,Mizoram,4,4,0.9,0,0,0.0,4,4,0.9
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,79,79,0.5,45,45,0.3,34,34,0.2
20,Punjab,13,13,0.1,9,9,0.1,4,4,0.0
21,Rajasthan,443,478,1.6,18,18,0.1,425,460,1.5
22,Sikkim,3,13,1.5,0,0,0.0,3,13,1.5
23,Tamil Nadu,88,112,0.4,5,7,0.0,83,105,0.4
24,Telangana,347,399,3.0,2,2,0.0,345,397,3.0
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,10,10,0.0,0,0,0.0,10,10,0.0
27,Uttarakhand,11,11,0.3,5,5,0.1,6,6,0.2
28,West Bengal,35,50,0.1,4,4,0.0,31,46,0.1
29,A&N Islands,2,2,1.8,0,0,0.0,2,2,1.8
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,2,2,1.0,2,2,1.0,0,0,0.0
32,Delhi,69,265,1.2,14,23,0.3,55,242,1.0
33,Jammu & Kashmir,2,2,0.0,0,0,0.0,2,2,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
