SL,State,Sec17_22_Total_I,Sec17_22_Total_V,Sec17_22_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,4,4,0.0,3,3,0.0,1,1,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,125,125,1.0,125,125,1.0,0,0,0.0
4,Bihar,0,0,0.0,0,0,0.0,0,0,0.0
5,Chhattisgarh,2,2,0.0,2,2,0.0,0,0,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,5,5,0.0,5,5,0.0,0,0,0.0
8,Haryana,23,23,0.3,23,23,0.3,0,0,0.0
9,Himachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
10,Jharkhand,1,1,0.0,1,1,0.0,0,0,0.0
11,Karnataka,22,28,0.1,22,28,0.1,0,0,0.0
12,Kerala,19,19,0.2,14,14,0.1,5,5,0.1
13,Madhya Pradesh,13,13,0.0,13,13,0.0,0,0,0.0
14,Maharashtra,22,22,0.1,16,16,0.0,6,6,0.0
15,Manipur,1,1,0.1,1,1,0.1,0,0,0.0
16,Meghalaya,7,7,0.5,7,7,0.5,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,5,5,0.0,5,5,0.0,0,0,0.0
20,Punjab,1,1,0.0,1,1,0.0,0,0,0.0
21,Rajasthan,189,189,0.7,183,183,0.7,6,6,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,3,3,0.0,3,3,0.0,0,0,0.0
24,Telangana,13,13,0.1,12,12,0.1,1,1,0.0
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,57,57,0.1,55,55,0.1,2,2,0.0
27,Uttarakhand,13,13,0.3,13,13,0.3,0,0,0.0
28,West Bengal,6,6,0.0,6,6,0.0,0,0,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,2,2,0.0,2,2,0.0,0,0,0.0
33,Jammu & Kashmir,0,0,0.0,0,0,0.0,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,1,1,5.0,1,1,5.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
