SL,State,Information_Technology_Act,Lotteries_Act,Mines_Minerals_Act,Prohibition_Act,Excise_Act,NDPS_Act
1,Andhra Pradesh,1,0,1,0,1,3
2,Arunachal Pradesh,0,0,0,0,0,0
3,Assam,1,0,0,0,0,2
4,Bihar,0,0,0,105,0,0
5,Chhattisgarh,0,0,0,0,10,1
6,Goa,0,0,0,0,0,0
7,Gujarat,1,0,0,110,0,2
8,Haryana,5,0,0,0,2,8
9,Himachal Pradesh,0,0,0,0,0,15
10,Jammu & Kashmir,0,0,0,0,2,6
11,Jharkhand,0,0,0,0,0,0
12,Karnataka,0,0,0,0,1,6
13,Kerala,0,0,0,1,0,4
14,Madhya Pradesh,1,0,0,0,73,34
15,Maharashtra,2,0,0,130,0,18
16,Manipur,0,0,0,0,0,2
17,Meghalaya,0,0,1,0,0,3
18,Mizoram,0,0,0,0,0,2
19,Nagaland,0,0,0,0,0,0
20,Odisha,0,0,0,0,0,1
21,Punjab,0,0,0,0,8,18
22,Rajasthan,5,0,1,0,21,17
23,Sikkim,0,0,0,0,0,0
24,Tamil Nadu,5,1,48,27,0,33
25,Telangana,0,0,0,0,0,11
26,Tripura,0,0,0,0,0,4
27,Uttar Pradesh,5,0,0,0,3,8
28,Uttarakhand,0,0,0,0,0,3
29,West Bengal,2,0,0,0,3,12
30,A&N Islands,0,0,0,0,0,1
31,Chandigarh,0,0,0,0,0,2
32,D&N Haveli,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0
34,Delhi,1,0,0,0,28,2
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0
