SL,State,Others_I,Others_V,Others_R,Trafficking_I,Trafficking_V,Trafficking_R,Selling_I,Selling_V,Selling_R
1,Andhra Pradesh,41,42,0.2,69,82,0.3,0,0,0.0
2,Arunachal Pradesh,4,4,0.5,1,3,0.1,0,0,0.0
3,Assam,837,837,5.0,153,173,0.9,2,2,0.0
4,Bihar,1037,1037,1.8,1,1,0.0,0,0,0.0
5,Chhattisgarh,70,71,0.5,25,82,0.2,0,0,0.0
6,Goa,16,16,2.1,34,84,4.5,0,0,0.0
7,Gujarat,23,26,0.1,8,16,0.0,0,0,0.0
8,Haryana,745,770,5.5,8,13,0.1,0,0,0.0
9,Himachal Pradesh,7,7,0.2,0,0,0.0,0,0,0.0
10,Jammu & Kashmir,178,178,2.8,0,0,0.0,0,0,0.0
11,Jharkhand,41,41,0.2,41,43,0.2,2,2,0.0
12,Karnataka,84,84,0.3,11,96,0.0,0,0,0.0
13,Kerala,20,20,0.1,100,108,0.5,0,0,0.0
14,Madhya Pradesh,36,36,0.1,29,118,0.1,6,10,0.0
15,Maharashtra,85,98,0.1,220,614,0.4,2,2,0.0
16,Manipur,4,4,0.3,4,52,0.3,0,0,0.0
17,Meghalaya,13,13,0.8,1,1,0.1,0,0,0.0
18,Mizoram,0,0,0.0,7,51,1.2,0,0,0.0
19,Nagaland,1,1,0.1,1,18,0.1,0,0,0.0
20,Odisha,0,0,0.0,79,91,0.4,0,0,0.0
21,Punjab,82,88,0.6,8,8,0.1,0,0,0.0
22,Rajasthan,2070,2074,5.5,5,5,0.0,1,1,0.0
23,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
24,Tamil Nadu,17,18,0.0,11,19,0.0,0,0,0.0
25,Telangana,86,89,0.5,55,77,0.3,0,0,0.0
26,Tripura,9,9,0.5,2,2,0.1,0,0,0.0
27,Uttar Pradesh,22,22,0.0,14,14,0.0,0,0,0.0
28,Uttarakhand,150,150,2.7,2,5,0.0,0,0,0.0
29,West Bengal,698,787,1.5,52,115,0.1,9,9,0.0
30,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
31,Chandigarh,8,8,1.5,1,1,0.2,0,0,0.0
32,D&N Haveli,1,1,0.4,0,0,0.0,0,0,0.0
33,Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
34,Delhi,195,206,2.1,24,99,0.3,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
