SL,State,Below18_I,Below18_V,Below18_R,Procurement_I,Procurement_V,Procurement_R,Importation_I,Importation_V,Importation_R
1,Andhra Pradesh,65,65,0.2,48,48,0.2,1,1,0.0
2,Arunachal Pradesh,2,2,0.3,6,9,0.8,0,0,0.0
3,Assam,466,583,2.8,1415,1474,8.4,0,0,0.0
4,Bihar,4482,4483,7.8,1,1,0.0,0,0,0.0
5,Chhattisgarh,420,420,2.9,2,2,0.0,0,0,0.0
6,Goa,1,1,0.1,0,0,0.0,0,0,0.0
7,Gujarat,555,558,1.7,0,0,0.0,0,0,0.0
8,Haryana,178,178,1.3,808,813,6.0,0,0,0.0
9,Himachal Pradesh,152,154,4.2,3,3,0.1,0,0,0.0
10,Jammu & Kashmir,12,12,0.2,0,0,0.0,0,0,0.0
11,Jharkhand,164,164,0.9,302,304,1.6,0,0,0.0
12,Karnataka,15,15,0.0,58,58,0.2,0,0,0.0
13,Kerala,30,31,0.2,20,20,0.1,0,0,0.0
14,Madhya Pradesh,1532,1540,3.8,22,22,0.1,0,0,0.0
15,Maharashtra,796,796,1.4,30,30,0.1,1,1,0.0
16,Manipur,13,13,0.8,36,36,2.3,0,0,0.0
17,Meghalaya,1,1,0.1,22,22,1.4,0,0,0.0
18,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
19,Nagaland,0,0,0.0,1,1,0.1,0,0,0.0
20,Odisha,74,74,0.3,54,54,0.2,0,0,0.0
21,Punjab,1188,1191,8.4,1,1,0.0,0,0,0.0
22,Rajasthan,420,420,1.1,13,13,0.0,0,0,0.0
23,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
24,Tamil Nadu,183,183,0.5,99,99,0.3,0,0,0.0
25,Telangana,285,290,1.5,74,74,0.4,0,0,0.0
26,Tripura,53,53,2.7,10,10,0.5,0,0,0.0
27,Uttar Pradesh,4029,4060,3.7,0,0,0.0,0,0,0.0
28,Uttarakhand,21,22,0.4,0,0,0.0,0,0,0.0
29,West Bengal,455,455,1.0,92,95,0.2,1,1,0.0
30,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
31,Chandigarh,22,22,4.1,0,0,0.0,0,0,0.0
32,D&N Haveli,0,0,0.0,0,0,0.0,0,0,0.0
33,Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
34,Delhi,1,1,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
