SL,State,Attempt_Total_I,Attempt_Total_V,Attempt_Total_R,Attempt_18_I,Attempt_18_V,Attempt_18_R,Attempt_Below18_I,Attempt_Below18_V,Attempt_Below18_R
1,Andhra Pradesh,177,178,0.7,132,132,0.5,45,46,0.2
2,Arunachal Pradesh,2,2,0.3,1,1,0.1,1,1,0.1
3,Assam,400,448,2.4,400,448,2.4,0,0,0.0
4,Bihar,110,112,0.2,108,110,0.2,2,2,0.0
5,Chhattisgarh,9,9,0.1,8,8,0.1,1,1,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,1,1,0.0,0,0,0.0,1,1,0.0
8,Haryana,194,194,1.4,194,194,1.4,0,0,0.0
9,Himachal Pradesh,5,5,0.1,0,0,0.0,5,5,0.1
10,Jammu & Kashmir,13,13,0.2,12,12,0.2,1,1,0.0
11,Jharkhand,234,241,1.3,209,216,1.1,25,25,0.1
12,Karnataka,12,12,0.0,11,11,0.0,1,1,0.0
13,Kerala,51,61,0.3,45,55,0.2,6,6,0.0
14,Madhya Pradesh,39,39,0.1,29,29,0.1,10,10,0.0
15,Maharashtra,4,4,0.0,4,4,0.0,0,0,0.0
16,Manipur,1,1,0.1,0,0,0.0,1,1,0.1
17,Meghalaya,16,16,1.0,14,14,0.9,2,2,0.1
18,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
19,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
20,Odisha,151,151,0.7,145,145,0.6,6,6,0.0
21,Punjab,109,110,0.8,51,52,0.4,58,58,0.4
22,Rajasthan,1019,1030,2.7,958,958,2.5,61,72,0.2
23,Sikkim,3,3,1.0,2,2,0.6,1,1,0.3
24,Tamil Nadu,8,8,0.0,8,8,0.0,0,0,0.0
25,Telangana,42,42,0.2,37,37,0.2,5,5,0.0
26,Tripura,9,9,0.5,9,9,0.5,0,0,0.0
27,Uttar Pradesh,358,358,0.3,268,268,0.2,90,90,0.1
28,Uttarakhand,21,21,0.4,11,11,0.2,10,10,0.2
29,West Bengal,944,958,2.0,944,958,2.0,0,0,0.0
30,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
31,Chandigarh,2,2,0.4,0,0,0.0,2,2,0.4
32,D&N Haveli,0,0,0.0,0,0,0.0,0,0,0.0
33,Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
34,Delhi,10,10,0.1,8,8,0.1,2,2,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
