SL,State,Murder_Rape_I,Murder_Rape_V,Murder_Rape_R,Dowry_Deaths_I,Dowry_Deaths_V,Dowry_Deaths_R,Abet_Suicide_I,Abet_Suicide_V,Abet_Suicide_R
1,Andhra Pradesh,6,6,0.0,112,112,0.4,407,423,1.6
2,Arunachal Pradesh,1,1,0.1,1,1,0.1,3,3,0.4
3,Assam,26,27,0.2,156,164,0.9,53,53,0.3
4,Bihar,4,4,0.0,1120,1127,1.9,8,8,0.0
5,Chhattisgarh,3,3,0.0,76,76,0.5,159,161,1.1
6,Goa,0,0,0.0,1,1,0.1,3,3,0.4
7,Gujarat,7,7,0.0,9,9,0.0,344,344,1.1
8,Haryana,6,6,0.0,248,248,1.8,225,226,1.7
9,Himachal Pradesh,13,13,0.4,4,4,0.1,61,61,1.7
10,Jammu & Kashmir,1,1,0.0,8,8,0.1,26,28,0.4
11,Jharkhand,4,4,0.0,299,305,1.6,51,53,0.3
12,Karnataka,23,23,0.1,194,203,0.6,332,343,1.0
13,Kerala,14,14,0.1,8,8,0.0,42,42,0.2
14,Madhya Pradesh,37,37,0.1,550,550,1.4,599,607,1.5
15,Maharashtra,47,47,0.1,196,196,0.3,802,808,1.4
16,Manipur,0,0,0.0,0,0,0.0,2,2,0.1
17,Meghalaya,6,6,0.4,3,3,0.2,0,0,0.0
18,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
19,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
20,Odisha,3,3,0.0,342,342,1.5,9,9,0.0
21,Punjab,0,0,0.0,69,70,0.5,176,180,1.2
22,Rajasthan,7,8,0.0,452,453,1.2,186,187,0.5
23,Sikkim,0,0,0.0,0,0,0.0,1,1,0.3
24,Tamil Nadu,8,8,0.0,28,28,0.1,236,241,0.6
25,Telangana,20,20,0.1,163,163,0.9,400,400,2.2
26,Tripura,0,0,0.0,38,38,1.9,9,9,0.5
27,Uttar Pradesh,34,35,0.0,2410,2424,2.2,359,362,0.3
28,Uttarakhand,2,2,0.0,57,57,1.0,22,23,0.4
29,West Bengal,6,6,0.0,444,444,0.9,445,462,0.9
30,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0
31,Chandigarh,0,0,0.0,6,6,1.1,1,1,0.2
32,D&N Haveli,0,0,0.0,3,3,1.3,0,0,0.0
33,Daman & Diu,0,0,0.0,2,2,1.5,0,0,0.0
34,Delhi,5,5,0.1,116,117,1.2,48,48,0.5
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
