SL,State,Buying_I,Buying_V,Buying_R,Rape_Total_I,Rape_Total_V,Rape_Total_R,Rape_18_I,Rape_18_V,Rape_18_R,Rape_Below18_I,Rape_Below18_V,Rape_Below18_R
1,Andhra Pradesh,0,0,0.0,1086,1104,4.2,542,543,2.1,544,561,2.1
2,Arunachal Pradesh,0,0,0.0,63,64,8.6,39,39,5.3,24,25,3.3
3,Assam,0,0,0.0,1773,1791,10.5,1685,1703,10.0,88,88,0.5
4,Bihar,0,0,0.0,730,740,1.3,729,739,1.3,1,1,0.0
5,Chhattisgarh,0,0,0.0,1036,1038,7.2,1033,1035,7.2,3,3,0.0
6,Goa,0,0,0.0,72,74,9.4,23,24,3.0,49,50,6.4
7,Gujarat,0,0,0.0,528,529,1.6,528,529,1.6,0,0,0.0
8,Haryana,0,0,0.0,1480,1480,10.9,1472,1472,10.9,8,8,0.1
9,Himachal Pradesh,0,0,0.0,359,361,10.0,162,163,4.5,197,198,5.5
10,Jammu & Kashmir,0,0,0.0,223,223,3.5,212,212,3.3,11,11,0.2
11,Jharkhand,6,6,0.0,1416,1426,7.7,1228,1238,6.7,188,188,1.0
12,Karnataka,0,0,0.0,505,508,1.6,505,508,1.6,0,0,0.0
13,Kerala,0,0,0.0,2023,2044,11.1,761,773,4.2,1262,1271,6.9
14,Madhya Pradesh,1,1,0.0,2485,2490,6.2,2485,2490,6.2,0,0,0.0
15,Maharashtra,0,0,0.0,2299,2305,3.9,2299,2305,3.9,0,0,0.0
16,Manipur,0,0,0.0,36,36,2.3,26,26,1.7,10,10,0.6
17,Meghalaya,0,0,0.0,102,102,6.3,82,82,5.1,20,20,1.2
18,Mizoram,0,0,0.0,42,43,7.1,19,19,3.2,23,24,3.9
19,Nagaland,0,0,0.0,8,8,0.8,6,6,0.6,2,2,0.2
20,Odisha,0,0,0.0,1382,1383,6.2,1151,1152,5.1,231,231,1.0
21,Punjab,0,0,0.0,1002,1008,7.1,576,578,4.1,426,430,3.0
22,Rajasthan,0,0,0.0,5997,6051,15.9,4684,4737,12.4,1313,1314,3.5
23,Sikkim,0,0,0.0,11,11,3.5,11,11,3.5,0,0,0.0
24,Tamil Nadu,0,0,0.0,362,362,1.0,353,353,0.9,9,9,0.0
25,Telangana,0,0,0.0,873,873,4.7,873,873,4.7,0,0,0.0
26,Tripura,0,0,0.0,88,88,4.5,88,88,4.5,0,0,0.0
27,Uttar Pradesh,0,0,0.0,3065,3131,2.8,2795,2859,2.6,270,272,0.2
28,Uttarakhand,1,1,0.0,526,526,9.6,342,342,6.3,184,184,3.4
29,West Bengal,0,0,0.0,1069,1069,2.3,1065,1065,2.2,4,4,0.0
30,A&N Islands,0,0,0.0,13,13,7.0,5,5,2.7,8,8,4.3
31,Chandigarh,0,0,0.0,112,112,20.7,47,47,8.7,65,65,12.0
32,D&N Haveli,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
33,Daman & Diu,0,0,0.0,4,4,3.1,4,4,3.1,0,0,0.0
34,Delhi,0,0,0.0,1253,1253,13.5,1253,1253,13.5,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,10,10,1.3,10,10,1.3,0,0,0.0
