SL,State,Attempt_Murder_I,Attempt_Murder_V,Attempt_Murder_R,Infanticide_I,Infanticide_V,Infanticide_R,Foeticide_I,Foeticide_V,Foeticide_R,Exposure_I,Exposure_V,Exposure_R
1,Andhra Pradesh,4,4,0.0,11,12,0.1,7,7,0.0,9,9,0.1
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,3,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
4,Bihar,136,158,0.3,0,0,0.0,0,0,0.0,0,0,0.0
5,Chhattisgarh,13,13,0.1,4,4,0.0,13,14,0.1,32,33,0.3
6,Goa,0,0,0.0,1,1,0.3,0,0,0.0,1,1,0.3
7,Gujarat,8,11,0.0,4,4,0.0,22,24,0.1,89,90,0.4
8,Haryana,6,6,0.1,7,7,0.1,5,5,0.1,24,24,0.3
9,Himachal Pradesh,0,0,0.0,1,1,0.0,0,0,0.0,3,3,0.1
10,Jharkhand,0,0,0.0,3,3,0.0,0,0,0.0,3,3,0.0
11,Karnataka,20,27,0.1,1,1,0.0,2,2,0.0,103,110,0.5
12,Kerala,10,11,0.1,0,0,0.0,0,0,0.0,13,13,0.1
13,Madhya Pradesh,36,38,0.1,4,4,0.0,17,17,0.1,186,192,0.6
14,Maharashtra,37,37,0.1,10,10,0.0,12,12,0.0,119,121,0.3
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
16,Meghalaya,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.1
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.2
19,Odisha,2,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
20,Punjab,4,4,0.0,1,1,0.0,11,11,0.1,10,11,0.1
21,Rajasthan,4,4,0.0,4,4,0.0,10,10,0.0,91,96,0.3
22,Sikkim,0,0,0.0,0,0,0.0,4,4,1.9,0,0,0.0
23,Tamil Nadu,15,16,0.1,17,18,0.1,0,0,0.0,3,3,0.0
24,Telangana,7,7,0.1,0,0,0.0,0,0,0.0,16,17,0.1
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,10,10,0.0,3,3,0.0,4,4,0.0,2,2,0.0
27,Uttarakhand,1,1,0.0,0,0,0.0,1,1,0.0,3,3,0.1
28,West Bengal,12,13,0.0,1,1,0.0,0,0,0.0,0,0,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,2,2,0.6,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,5,5,0.1,3,3,0.1,1,1,0.0,26,27,0.5
33,Jammu & Kashmir,1,1,0.0,4,4,0.1,0,0,0.0,9,9,0.2
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.2
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
