SL,State,Trafficking_I,Trafficking_V,Trafficking_R,Selling_Total_I,Selling_Total_V,Selling_Total_R,Boys_I,Boys_V,Boys_R,Girls_I,Girls_V,Girls_R
1,Andhra Pradesh,14,14,0.1,0,0,0.0,0,0,0.0,0,0,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,32,38,0.3,1,1,0.0,0,0,0.0,1,1,0.0
4,Bihar,13,57,0.0,3,9,0.0,2,8,0.0,1,1,0.0
5,Chhattisgarh,18,34,0.2,0,0,0.0,0,0,0.0,0,0,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,6,62,0.0,2,2,0.0,0,0,0.0,2,2,0.0
8,Haryana,6,6,0.1,1,1,0.0,0,0,0.0,1,1,0.0
9,Himachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
10,Jharkhand,33,40,0.2,1,1,0.0,0,0,0.0,1,1,0.0
11,Karnataka,2,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0
12,Kerala,66,66,0.7,0,0,0.0,0,0,0.0,0,0,0.0
13,Madhya Pradesh,25,33,0.1,4,4,0.0,0,0,0.0,4,4,0.0
14,Maharashtra,21,30,0.1,0,0,0.0,0,0,0.0,0,0,0.0
15,Manipur,3,4,0.3,0,0,0.0,0,0,0.0,0,0,0.0
16,Meghalaya,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,15,17,0.1,0,0,0.0,0,0,0.0,0,0,0.0
20,Punjab,6,59,0.1,0,0,0.0,0,0,0.0,0,0,0.0
21,Rajasthan,16,63,0.1,0,0,0.0,0,0,0.0,0,0,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,9,21,0.0,0,0,0.0,0,0,0.0,0,0,0.0
24,Telangana,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0
25,Tripura,1,1,0.1,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,2,20,0.0,0,0,0.0,0,0,0.0,0,0,0.0
27,Uttarakhand,5,5,0.1,0,0,0.0,0,0,0.0,0,0,0.0
28,West Bengal,10,21,0.0,2,2,0.0,0,0,0.0,2,2,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,2,3,0.6,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,1,1,0.5,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,40,196,0.7,0,0,0.0,0,0,0.0,0,0,0.0
33,Jammu & Kashmir,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
