SNo,State,Male<18,Female<18,Total<18,Male>18,Female>18,Total>18,MaleTotal,FemaleTotal,GrandTotal
1,Andhra Pradesh,7,16,23,8,204,212,15,220,235
2,Arunachal Pradesh,4,9,13,0,0,0,4,9,13
3,Assam,23,61,84,7,86,93,30,147,177
4,Bihar,75,48,123,2,54,56,77,102,179
5,Chhattisgarh,16,19,35,39,36,75,55,55,110
6,Goa,0,1,1,0,29,29,0,30,30
7,Gujarat,61,4,65,14,8,22,75,12,87
8,Haryana,1,6,7,1,10,11,2,16,18
9,Himachal Pradesh,2,0,2,0,11,11,2,11,13
10,Jharkhand,16,98,114,37,150,187,53,248,301
11,Karnataka,1,1,2,7,32,39,8,33,41
12,Kerala,28,156,184,2,33,35,30,189,219
13,Madhya Pradesh,15,64,79,0,53,53,15,117,132
14,Maharashtra,5,44,49,1,462,463,6,506,512
15,Manipur,2,2,4,1,5,6,3,7,10
16,Meghalaya,0,1,1,0,1,1,0,2,2
17,Mizoram,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0,0,0
19,Odisha,78,81,159,376,206,582,454,287,741
20,Punjab,59,6,65,2,18,20,61,24,85
21,Rajasthan,762,53,815,0,3,3,762,56,818
22,Sikkim,0,2,2,0,1,1,0,3,3
23,Tamil Nadu,8,16,24,7,6,13,15,22,37
24,Telangana,24,8,32,14,393,407,38,401,439
25,Tripura,1,1,2,0,1,1,1,2,3
26,Uttar Pradesh,0,61,61,0,119,119,0,180,180
27,Uttarakhand,0,9,9,0,5,5,0,14,14
28,West Bengal,9,44,53,1,17,18,10,61,71
,TOTAL STATE(S),1197,811,2008,519,1943,2462,1716,2754,4470
29,A & N Islands,0,0,0,0,2,2,0,2,2
30,Chandigarh,1,2,3,0,0,0,1,2,3
31,DNH and Daman & Diu,0,2,2,0,0,0,0,2,2
32,Delhi UT,178,24,202,15,7,22,193,31,224
33,Jammu & Kashmir,1,1,2,0,0,0,1,1,2
34,Ladakh,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,5,5,1,0,1,1,5,6
,TOTAL UT(S),180,34,214,16,9,25,196,43,239
,TOTAL (ALL INDIA),1377,845,2222,535,1952,2487,1912,2797,4709
