SNo,State,Indian_Male,Indian_Female,Indian_Total,SriLanka_Male,SriLanka_Female,SriLanka_Total,Nepal_Male,Nepal_Female,Nepal_Total,Bangladesh_Male,Bangladesh_Female,Bangladesh_Total,Others_Male,Others_Female,Others_Total,Total_Male,Total_Female,Total_Total
1,Andhra Pradesh,1,278,279,0,0,0,0,0,0,0,0,0,0,0,0,1,278,279
2,Arunachal Pradesh,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
3,Assam,158,267,425,0,0,0,0,0,0,0,0,0,0,0,0,158,267,425
4,Bihar,233,149,382,0,0,0,2,0,2,0,0,0,0,0,0,235,149,384
5,Chhattisgarh,53,39,92,0,0,0,0,0,0,0,0,0,0,0,0,53,39,92
6,Goa,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35
7,Gujarat,1,12,13,0,0,0,0,1,1,0,2,2,0,0,0,1,15,16
8,Haryana,4,34,38,0,0,0,0,0,0,0,2,2,0,0,0,4,36,40
9,Himachal Pradesh,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
10,Jharkhand,112,135,247,0,0,0,0,0,0,0,0,0,0,0,0,112,135,247
11,Karnataka,1,9,10,38,0,38,0,0,0,0,2,2,0,0,0,39,11,50
12,Kerala,14,178,192,0,0,0,0,0,0,0,0,0,0,0,0,14,178,192
13,Madhya Pradesh,53,104,157,0,0,0,0,0,0,0,0,0,0,0,0,53,104,157
14,Maharashtra,10,846,856,0,0,0,0,3,3,0,10,10,0,21,21,10,880,890
15,Manipur,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
16,Meghalaya,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
17,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Odisha,664,626,1290,0,0,0,0,0,0,0,0,0,0,0,0,664,626,1290
20,Punjab,4,16,20,0,0,0,0,0,0,0,0,0,0,0,0,4,16,20
21,Rajasthan,395,25,420,0,0,0,0,0,0,0,0,0,0,0,0,395,25,420
22,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Tamil Nadu,24,65,89,0,0,0,0,0,0,0,0,0,0,0,0,24,65,89
24,Telangana,137,640,777,0,0,0,0,0,0,0,5,5,0,14,14,137,659,796
25,Tripura,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
26,Uttar Pradesh,2,119,121,0,0,0,0,0,0,0,0,0,0,0,0,2,119,121
27,Uttarakhand,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
28,West Bengal,8,83,91,0,0,0,0,1,1,0,5,5,0,0,0,8,89,97
,TOTAL STATE(S),1877,3698,5575,38,0,38,2,5,7,0,26,26,0,35,35,1917,3764,5681
29,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Chandigarh,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
31,DNH and Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Delhi UT,366,142,508,0,0,0,0,1,1,0,0,0,0,0,0,366,143,509
33,Jammu & Kashmir,17,4,21,0,0,0,0,0,0,0,0,0,0,0,0,17,4,21
34,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TOTAL UT(S),384,147,531,0,0,0,0,1,1,0,0,0,0,0,0,384,148,532
,TOTAL (ALL INDIA),2261,3845,6106,38,0,38,2,6,8,0,26,26,0,35,35,2301,3912,6213
