SL,State,Obscene_Acts_Public,Religion_Offences,Cheating_Impersonation,Mischief,Arson,Criminal_Trespass,Cruelty_Relatives
1,Andhra Pradesh,0,0,0,0,2,3,0
2,Arunachal Pradesh,0,0,0,0,0,0,0
3,Assam,0,0,0,0,0,0,0
4,Bihar,0,0,0,0,0,0,0
5,Chhattisgarh,1,0,0,0,0,0,2
6,Goa,0,0,0,0,0,0,0
7,Gujarat,1,4,0,2,5,6,4
8,Haryana,2,0,1,0,1,25,0
9,Himachal Pradesh,0,0,0,0,0,13,1
10,Jharkhand,0,0,0,0,0,0,0
11,Karnataka,0,1,0,1,0,0,1
12,Kerala,0,0,0,0,1,0,0
13,Madhya Pradesh,71,17,0,4,7,32,26
14,Maharashtra,13,2,3,0,13,50,10
15,Manipur,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0
19,Odisha,0,0,0,1,0,0,0
20,Punjab,0,1,0,0,0,11,0
21,Rajasthan,0,0,0,0,7,36,1
22,Sikkim,0,0,0,0,1,0,0
23,Tamil Nadu,21,2,0,0,7,3,0
24,Telangana,3,0,0,1,1,7,1
25,Tripura,0,0,0,0,0,0,0
26,Uttar Pradesh,15,0,0,0,0,1,0
27,Uttarakhand,0,0,0,0,0,0,0
28,West Bengal,0,0,0,0,0,0,9
29,A&N Islands,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0,0
31,D&N Haveli and Daman & Diu,0,0,0,0,0,0,0
32,Delhi,0,0,0,0,0,0,0
33,Jammu & Kashmir,0,0,0,0,0,5,0
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0
