SL,State,Offences_State,Total_State,Unlawful_Assembly,Rioting,Promoting_Enmity,Affray,Total_Public_Tranquility
1,Andhra Pradesh,0,0,0,1,0,0,1
2,Arunachal Pradesh,0,0,0,0,0,0,0
3,Assam,0,0,0,8,1,0,9
4,Bihar,0,0,0,4,0,0,4
5,Chhattisgarh,0,0,0,77,0,0,77
6,Goa,0,0,0,0,0,0,0
7,Gujarat,0,0,6,87,1,3,97
8,Haryana,0,0,0,45,0,2,47
9,Himachal Pradesh,0,0,0,16,0,0,16
10,Jharkhand,0,0,0,0,0,0,0
11,Karnataka,0,0,2,22,0,0,24
12,Kerala,0,0,3,13,0,2,18
13,Madhya Pradesh,0,0,0,63,0,0,63
14,Maharashtra,0,0,30,395,0,10,435
15,Manipur,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0
19,Odisha,0,0,2,3,0,2,7
20,Punjab,0,0,0,0,0,1,1
21,Rajasthan,0,0,75,7,0,0,82
22,Sikkim,0,0,0,0,0,0,0
23,Tamil Nadu,0,0,3,50,1,3,57
24,Telangana,0,0,0,13,0,0,13
25,Tripura,0,0,0,0,0,0,0
26,Uttar Pradesh,0,0,0,14,3,0,17
27,Uttarakhand,0,0,0,2,0,0,2
28,West Bengal,0,0,0,18,0,0,18
29,A&N Islands,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,3,0,0,3
31,D&N Haveli and Daman & Diu,0,0,0,0,0,0,0
32,Delhi,0,0,0,19,0,2,21
33,Jammu & Kashmir,0,0,0,13,0,0,13
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,0,0,1,2,0,0,3
