SL,State,Obscene_Acts_Public,Religion_Offences,Cheating_Impersonation,Mischief,Arson,Criminal_Trespass,Cruelty_Relatives
1,Andhra Pradesh,0,0,0,0,0,3,0
2,Arunachal Pradesh,0,0,0,0,0,0,0
3,Assam,0,0,0,0,0,0,0
4,Bihar,0,3,0,0,0,1,4
5,Chhattisgarh,2,1,0,0,7,4,1
6,Goa,0,0,0,0,0,0,0
7,Gujarat,0,1,0,0,3,12,2
8,Haryana,0,0,0,0,6,51,1
9,Himachal Pradesh,0,0,0,0,0,3,0
10,Jharkhand,0,0,0,0,0,0,0
11,Karnataka,0,7,0,1,1,1,1
12,Kerala,2,0,0,0,0,4,0
13,Madhya Pradesh,37,4,3,0,5,27,6
14,Maharashtra,12,24,0,0,6,33,8
15,Manipur,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0
19,Odisha,0,0,0,0,0,0,0
20,Punjab,0,1,0,0,0,14,0
21,Rajasthan,0,0,0,0,0,35,4
22,Sikkim,0,0,0,0,0,0,0
23,Tamil Nadu,28,1,0,4,7,6,0
24,Telangana,0,0,0,0,1,7,1
25,Tripura,0,0,0,0,0,0,0
26,Uttar Pradesh,20,0,0,0,0,4,1
27,Uttarakhand,1,0,0,0,0,0,0
28,West Bengal,0,0,1,0,0,8,17
29,A&N Islands,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0,0
31,D&N Haveli and Daman & Diu,0,0,0,0,0,1,0
32,Delhi,0,0,1,0,3,2,2
33,Jammu & Kashmir,0,0,0,0,1,15,0
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,1,0,0
